date flow_ft3_s po4_mg_L Daily_Load_MTD
5/13/2013 3100 0.08363 0.63434024
5/14/2013 2180 0.06036 0.321961689
5/15/2013 1900 0.05471 0.254342413
5/16/2013 1660 0.05036 0.204546608
5/17/2013 1630 0.05012 0.199892794
5/18/2013 1460 0.04745 0.169506964
5/19/2013 1230 0.04422 0.13308292
5/20/2013 1127 0.04313 0.118932855
5/21/2013 1220 0.04463 0.133224834
5/22/2013 1140 0.04385 0.122313085
5/23/2013 1300 0.04636 0.147463742
5/24/2013 1260 0.04605 0.141970676
5/25/2013 1290 0.04679 0.147686646
5/26/2013 1280 0.04693 0.146980255
5/27/2013 1190 0.04591 0.13367578
5/28/2013 1200 0.04634 0.136061654
5/29/2013 1850 0.05856 0.265076525
5/30/2013 3980 0.12433 1.210758363
5/31/2013 4730 0.15726 1.820027223
6/1/2013 3403 0.10428 0.868283291
6/2/2013 2380 0.0731 0.42568937
6/3/2013 2297 0.07131 0.400783564
6/4/2013 2567 0.07922 0.497575718
6/5/2013 2060 0.06612 0.333271777
6/6/2013 2190 0.06982 0.374129911
6/7/2013 5520 0.20523 2.771905337
6/8/2013 6510 0.26729 4.25757367
6/9/2013 5820 0.22516 3.20636306
6/10/2013 4140 0.13979 1.416038032
6/11/2013 3420 0.11141 0.932285119
6/12/2013 3760 0.12537 1.153399988
6/13/2013 5930 0.23734 3.443690426
6/14/2013 6958 0.30912 5.26271681
6/15/2013 8577 0.44847 9.411682728
6/16/2013 6230 0.26104 3.979179947
6/17/2013 3973 0.13822 1.343655473
6/18/2013 3170 0.10659 0.826749986
6/19/2013 2540 0.08575 0.532925274
6/20/2013 2100 0.07331 0.376687307
6/21/2013 2030 0.07183 0.356779897
6/22/2013 1730 0.06461 0.273491804
6/23/2013 1540 0.06063 0.228458205
6/24/2013 1220 0.05473 0.163374304
6/25/2013 1730 0.06568 0.278021076
6/26/2013 1470 0.06012 0.216239376
6/27/2013 1340 0.05781 0.189542341
6/28/2013 1630 0.06433 0.25656631
6/29/2013 2960 0.10519 0.76184152
6/30/2013 3470 0.1259 1.068940856
7/1/2013 2773 0.09948 0.674969452
7/2/2013 2610 0.09426 0.60195831
7/3/2013 3197 0.11649 0.911233659
7/4/2013 5310 0.22481 2.920845723
7/5/2013 3900 0.14846 1.416682519
7/6/2013 3150 0.1163 0.896372946
7/7/2013 2340 0.08747 0.500810535
7/8/2013 1920 0.07518 0.353184814
7/9/2013 1840 0.07331 0.330049831
7/10/2013 1430 0.06349 0.222146685
7/11/2013 1210 0.05933 0.175654059
7/12/2013 1340 0.06211 0.203640802
7/13/2013 1310 0.06176 0.197959822
7/14/2013 985 0.05656 0.136315143
7/15/2013 928 0.05614 0.127473191
7/16/2013 665 0.05543 0.090191372
7/17/2013 916.3 0.05646 0.12658348
7/18/2013 655 0.05592 0.089620412
7/19/2013 509 0.05866 0.073056408
7/20/2013 706 0.0561 0.096909429
7/21/2013 893 0.05708 0.124719366
7/22/2013 1100 0.05998 0.16143497
7/23/2013 846 0.05708 0.118155189
7/24/2013 1030 0.0593 0.149448097
7/25/2013 1280 0.06392 0.200191304
7/26/2013 988 0.0591 0.142870609
7/27/2013 750 0.05739 0.105316389
7/28/2013 815 0.05778 0.115221525
7/29/2013 682 0.05783 0.096501939
7/30/2013 705 0.05791 0.099894403
7/31/2013 626 0.05856 0.089696165
8/1/2013 750 0.05818 0.106766118
8/2/2013 726 0.05832 0.103598295
8/3/2013 640 0.05885 0.092156275
8/4/2013 709 0.05861 0.101675526
