date flow_ft3_s po4_mg_L Daily_Load_MTD
5/16/2013 130 0.14848 0.047229112
5/17/2013 131 0.14898 0.047752679
5/18/2013 121 0.15015 0.044453829
5/19/2013 122 0.1506 0.044955546
5/20/2013 118 0.15152 0.043747218
5/21/2013 100 0.15534 0.038008591
5/22/2013 124 0.15202 0.046123354
5/23/2013 123 0.15262 0.045931966
5/24/2013 125 0.15299 0.046791992
5/25/2013 132 0.15313 0.04945756
5/26/2013 115 0.15502 0.043619838
5/27/2013 118 0.15515 0.04479528
5/28/2013 123 0.15516 0.046696395
5/29/2013 292 0.17828 0.127374927
5/30/2013 261 0.17192 0.109790656
5/31/2013 162 0.15684 0.06216849
6/1/2013 131 0.15661 0.050198329
6/2/2013 557 0.25661 0.349725455
6/3/2013 489 0.23566 0.281963702
6/4/2013 342 0.19398 0.16232355
6/5/2013 181 0.16102 0.071311056
6/6/2013 187 0.16221 0.074219445
6/7/2013 363 0.20123 0.178730152
6/8/2013 272 0.17887 0.11904328
6/9/2013 192 0.1642 0.077138796
6/10/2013 161 0.16124 0.063518047
6/11/2013 301 0.18712 0.13781141
6/12/2013 232 0.17223 0.097767668
6/13/2013 336 0.19701 0.161966807
6/14/2013 439 0.22694 0.243766512
6/15/2013 281 0.18408 0.126564351
6/16/2013 179 0.16531 0.072402011
6/17/2013 145.3 0.1632 0.058020871
6/18/2013 123 0.16415 0.049401993
6/19/2013 114 0.16557 0.046183301
6/20/2013 115 0.16576 0.04664188
6/21/2013 116 0.16594 0.047098551
6/22/2013 115 0.1664 0.046821965
6/23/2013 118 0.1663 0.048014535
6/24/2013 110 0.16784 0.0451738
6/25/2013 108 0.16853 0.044534794
6/26/2013 107 0.16902 0.044250721
6/27/2013 107 0.16929 0.044321409
6/28/2013 173 0.16835 0.071261949
6/29/2013 652 0.30643 0.488851946
6/30/2013 458 0.23969 0.268604859
7/1/2013 324 0.20037 0.158845962
7/2/2013 176.3 0.16965 0.073182063
7/3/2013 146 0.16759 0.059868645
7/4/2013 136 0.16775 0.055821295
7/5/2013 139 0.16789 0.057100262
7/6/2013 134 0.16813 0.055124985
7/7/2013 133 0.16832 0.054775435
7/8/2013 120 0.16939 0.049735614
7/9/2013 112 0.17066 0.046767939
7/10/2013 98.6 0.17403 0.041985517
7/11/2013 113 0.17073 0.047204865
7/12/2013 101 0.17352 0.042881442
7/13/2013 101 0.17361 0.042903684
7/14/2013 97.8 0.17468 0.041800407
7/15/2013 102.9 0.17318 0.043602519
7/16/2013 102 0.17352 0.043306011
7/17/2013 89.6 0.17803 0.039030101
7/18/2013 102 0.17359 0.043323481
7/19/2013 99.3 0.1744 0.042373487
7/20/2013 310 0.199 0.150943092
7/21/2013 222 0.17862 0.097024526
7/22/2013 239 0.182 0.106430906
7/23/2013 166 0.17034 0.069186793
7/24/2013 145 0.16909 0.059990765
7/25/2013 115 0.17071 0.048034721
7/26/2013 109 0.1717 0.045792596
7/27/2013 102 0.1733 0.043251105
7/28/2013 109 0.17154 0.045749924
7/29/2013 103 0.17284 0.043559206
7/30/2013 101 0.17327 0.042819661
7/31/2013 98.8 0.17381 0.042017497
8/1/2013 108 0.17126 0.045256209
8/2/2013 115 0.16984 0.047789919
8/3/2013 127 0.16839 0.052326115
8/4/2013 118 0.16909 0.048820071
8/5/2013 71 0.18877 0.032793653
8/6/2013 102 0.17185 0.042889223
8/7/2013 96 0.17352 0.040758599
8/8/2013 115 0.16871 0.047471957
8/9/2013 126 0.16727 0.051568806
8/10/2013 122 0.16738 0.049964537
8/11/2013 117 0.16772 0.048014144
8/12/2013 108 0.16899 0.044656351
8/13/2013 106 0.16916 0.043873473
8/14/2013 107 0.16866 0.04415647
8/15/2013 97.8 0.17084 0.040881506
8/16/2013 98.3 0.17038 0.040979873
8/17/2013 96 0.17082 0.040124388
8/18/2013 93.4 0.17144 0.039179375
8/19/2013 93.2 0.17118 0.039036188
8/20/2013 108.4 0.1665 0.044161314
8/21/2013 93.4 0.1704 0.038941703
8/22/2013 93.1 0.17015 0.038759673
8/23/2013 101 0.16716 0.041309716
8/24/2013 95.3 0.16858 0.039309491
8/25/2013 89.1 0.17065 0.037203386
8/26/2013 93.1 0.16859 0.03840431
8/27/2013 114 0.16285 0.045424597
8/28/2013 104 0.1644 0.041834408
8/29/2013 104 0.16398 0.041727531
8/30/2013 100 0.16461 0.040276775
8/31/2013 96.1 0.16538 0.038887036
9/1/2013 95.6 0.1651 0.038619215
9/2/2013 97.2 0.16412 0.039032489
9/3/2013 94 0.16475 0.037892368
9/4/2013 95.2 0.16385 0.038166459
9/5/2013 96 0.16311 0.038313365
9/6/2013 92 0.16406 0.036930825
9/7/2013 94.9 0.16251 0.037735037
9/8/2013 98.5 0.16086 0.038768836
9/9/2013 94.4 0.16169 0.03734682
9/10/2013 97.1 0.16028 0.038080008
9/11/2013 108 0.15704 0.041498511
9/12/2013 88.1 0.16261 0.035052712
9/13/2013 102 0.15736 0.039272902
9/14/2013 93.4 0.15945 0.036439287
9/15/2013 95.1 0.15832 0.036839588
9/16/2013 93.7 0.15827 0.036285797
9/17/2013 101.5 0.15542 0.038598588
9/18/2013 92.4 0.15765 0.035642193
9/19/2013 94 0.15653 0.036001775
9/20/2013 98 0.15471 0.037097354
9/21/2013 169 0.15044 0.062208324
9/22/2013 256 0.16306 0.102137653
9/23/2013 173 0.14971 0.063371704
9/24/2013 162 0.14828 0.058775464
9/25/2013 121 0.1478 0.043758082
9/26/2013 103 0.15008 0.037823222
9/27/2013 99 0.15052 0.036460941
