OBJECTID,FID_Makare,Date_,Lat,Long_,Long2,I,J,Smpl_Dpth_,TP_ug_L,Site,Sta_dpth_m,Field11,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K
21,7,7/22/2013,43.29832,77.6838,-77.6838,,,0.5,136.2,Braddock Bay/Long Pond Lakeside,,,7967,2.19E+02,"(167,23)",167,23,-1.84E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,8.251648,,8.251648,0,,167-23,1.018,167,23,167-23,2.036,2,1
22,10,8/19/2013,43.29832,77.6838,-77.6838,,,0.5,44,Braddock Bay/Long Pond Lakeside,,,7967,2.19E+02,"(167,23)",167,23,-1.84E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,8.251648,,8.251648,0,,167-23,1.018,167,23,167-23,2.036,2,1
23,13,9/16/2013,43.29832,77.6838,-77.6838,,,0.5,45.4,Braddock Bay/Long Pond Lakeside,,,7967,2.19E+02,"(167,23)",167,23,-1.84E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,8.251648,,8.251648,0,,167-23,1.018,167,23,167-23,2.036,2,1
24,25,5/20/2013,43.37652,77.89393,-77.89393,,,30,3.4,Lake Ontario 30m,,,7038,3.47E+03,"(154,63)",154,63,-3.97E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.540567,,5.540567,0,,154-63,3.9879,154,63,154-63,39.879,10,8
25,27,6/17/2013,43.37652,77.89393,-77.89393,,,30,16.8,Lake Ontario 30m,,,7038,3.47E+03,"(154,63)",154,63,-3.97E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.540567,,5.540567,0,,154-63,3.9879,154,63,154-63,39.879,10,8
26,29,7/23/2013,43.37652,77.89393,-77.89393,,,30,6.6,Lake Ontario 30m,,,7038,3.47E+03,"(154,63)",154,63,-3.97E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.540567,,5.540567,0,,154-63,3.9879,154,63,154-63,39.879,10,8
27,31,8/20/2013,43.37652,77.89393,-77.89393,,,30,8.3,Lake Ontario 30m,,,7038,3.47E+03,"(154,63)",154,63,-3.97E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.540567,,5.540567,0,,154-63,3.9879,154,63,154-63,39.879,10,8
28,33,9/18/2013,43.37652,77.89393,-77.89393,,,30,7,Lake Ontario 30m,,,7038,3.47E+03,"(154,63)",154,63,-3.97E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,5.540567,,5.540567,0,,154-63,3.9879,154,63,154-63,39.879,10,8
29,24,5/20/2013,43.42514,77.89707,-77.89707,,,100,5.7,Lake Ontario 100m,,,6984,5.42E+03,"(153,74)",153,74,-1.16E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.776062,,4.776062,0,,153-74,11.6672,153,74,153-74,116.672,10,9
30,26,6/17/2013,43.42514,77.89707,-77.89707,,,100,8.9,Lake Ontario 100m,,,6984,5.42E+03,"(153,74)",153,74,-1.16E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.776062,,4.776062,0,,153-74,11.6672,153,74,153-74,116.672,10,9
31,28,7/23/2013,43.42514,77.89707,-77.89707,,,100,7.9,Lake Ontario 100m,,,6984,5.42E+03,"(153,74)",153,74,-1.16E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.776062,,4.776062,0,,153-74,11.6672,153,74,153-74,116.672,10,9
32,30,8/20/2013,43.42514,77.89707,-77.89707,,,100,8.9,Lake Ontario 100m,,,6984,5.42E+03,"(153,74)",153,74,-1.16E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.776062,,4.776062,0,,153-74,11.6672,153,74,153-74,116.672,10,9
33,32,9/18/2013,43.42514,77.89707,-77.89707,,,100,7,Lake Ontario 100m,,,6984,5.42E+03,"(153,74)",153,74,-1.16E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.776062,,4.776062,0,,153-74,11.6672,153,74,153-74,116.672,10,9
