FID_GLENDA,Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_,LATITUDE,LONGITUDE,SAMPLING_D,TIME_ZONE,SAMPLE_DEP,DEPTH_CODE,MEDIUM,SAMPLE_TYP,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REM,ANL_CODE_2,ANALYTE_2,TP,UNITS_2,FRACTION_2,METHOD_2,RESULT_R_1,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_layer
135,136,2013,August,Summer,Ontario,ON1321-SV,O0FOG13,ONFO,80,43.416433,-77.916517,8/14/2013,EDT,79.4,Bottom Minus,surface water,INSITU_MEAS,routine field sample,13GO59S31,P-tot,"Phosphorus, Total as P",2.423,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",2.25,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,9
8,9,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,0,"Integrated, Spring",surface water,INSITU_MEAS,routine field sample,13GO23I12,P-tot,"Phosphorus, Total as P",3.941,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.672,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
15,16,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,3.4,Surface,surface water,INSITU_MEAS,routine field sample,13GO23S01,P-tot,"Phosphorus, Total as P",3.729,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.659,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
16,17,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,5,Five Meter,surface water,INSITU_MEAS,routine field sample,13GO23S02,P-tot,"Phosphorus, Total as P",3.338,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.013,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
17,18,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,10,Ten Meter,surface water,INSITU_MEAS,routine field sample,13GO23S03,P-tot,"Phosphorus, Total as P",3.592,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.613,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,1
18,19,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,19.9,Twenty Meter,surface water,INSITU_MEAS,routine field sample,13GO23S04,P-tot,"Phosphorus, Total as P",3.567,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.339,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,2
19,20,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,30,Thirty Meter,surface water,INSITU_MEAS,routine field sample,13GO23S05,P-tot,"Phosphorus, Total as P",3.299,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.426,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,2
20,21,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,40,Forty Meter,surface water,INSITU_MEAS,routine field sample,13GO23S06,P-tot,"Phosphorus, Total as P",3.179,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.742,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,3
21,22,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,50,Fifty Meter,surface water,INSITU_MEAS,routine field sample,13GO23S07,P-tot,"Phosphorus, Total as P",3.603,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.197,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,3
22,23,2013,April,Spring,Ontario,ON1311-SV,O55MM13,ON55M,192,43.4431,-77.4381,4/5/2013,EDT,100,One Hundred Meter,surface water,INSITU_MEAS,routine field sample,13GO23S08,P-tot,"Phosphorus, Total as P",3.318,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.459,ug/l,Total/Bulk,LG204,,9416,6.23E+03,"(180,78)",180,78,-1.95E+02,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.834577,,4.834577,0,,180-78,19.53,213.3693907,10,195.3,6
