"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2018-08-14,1534204800,52,67,1,6.61,11.713,7.76471460994799
2018-04-09,1523232000,52,67,1,5.133,11.713,6.77876187182846
2018-04-10,1523318400,75,71,1,6.626,16.675,16.9463892234489
2018-08-14,1534204800,75,71,1,5.742,16.675,8.04823685029987
2018-08-14,1534204800,75,71,8,3.699,16.675,7.927902515803
2018-08-14,1534204800,143,108,1,4.622,8.264,3.61137699655956
2018-04-10,1523318400,143,108,1,3.23,8.264,5.38528956894879
2018-08-17,1534464000,52,67,1,9.5,11.713,6.67630683892639
2018-08-17,1534464000,52,67,9,6.9,11.713,7.82141250965651
2018-08-17,1534464000,58,67,1,6.9,12.252,6.91990999257541
2018-08-17,1534464000,10,91,1,45.7,3.192,6.69018936605426
2018-08-17,1534464000,10,91,1,54.6,3.192,6.69018936605426
2018-08-17,1534464000,12,90,1,30.9,3.192,6.46543912807829
2018-08-17,1534464000,12,90,3,26.7,3.192,6.98941630616901
2018-08-17,1534464000,12,90,3,112,3.192,6.98941630616901
2018-08-17,1534464000,15,91,1,52.2,3.192,6.43806924927048
2018-08-17,1534464000,15,91,3,42.4,3.192,6.95291464580805
2018-08-17,1534464000,73,63,1,8,10.742,8.22753736429149
2018-08-17,1534464000,73,63,10,5.7,10.742,8.86802808963694
2018-08-17,1534464000,66,73,1,6.6,13.235,7.23769016985898
2018-08-16,1534377600,173,14,1,9.8,15.578,6.70720328344032
2018-08-16,1534377600,173,14,7,9.1,15.578,7.07639537722571
2018-08-17,1534464000,85,61,1,6,17.667,8.00669567979639
2018-08-13,1534118400,33,96,1,5.1,18.224,6.35312562735635
2018-08-16,1534377600,230,80,1,8.8,17.601,5.27801830685348
2018-08-16,1534377600,230,80,6,8.2,17.601,6.04796650804929
2018-05-23,1527033600,230,80,2,6.2,17.601,7.43380314816022
2018-05-23,1527033600,230,80,6,6.1,17.601,7.44138606023625
2018-08-14,1534204800,56,105,1,8.1,15.142,7.33745628167526
2018-08-14,1534204800,56,105,7,10.6,15.142,8.20510558696697
2018-08-14,1534204800,56,105,9,10.3,15.142,8.51485219754977
2018-08-14,1534204800,61,104,1,16.3,8.031,6.63611081108684
2018-08-14,1534204800,62,104,2,26.1,7.898,6.44405781713431
2018-08-14,1534204800,62,104,8,21.7,7.898,8.47851879370864
2018-08-14,1534204800,69,104,1,6.5,10.692,5.94492485106457
2018-08-14,1534204800,98,107,1,8.4,19.091,4.91613582198624
2018-08-14,1534204800,143,108,1,5.2,8.264,3.61137699655956
2018-05-22,1526947200,143,108,2,6.1,8.264,4.83622307001497
2018-05-22,1526947200,143,108,8,5.7,8.264,5.14357634529006
2018-05-22,1526947200,143,108,8,6.3,8.264,5.14357634529006
2018-08-15,1534291200,166,112,1,5,17.575,9.41355119721266
2018-08-15,1534291200,166,112,1,4.9,17.575,9.41355119721266
2018-08-15,1534291200,236,120,1,15.2,18.642,4.52329959443887
2018-07-25,1532476800,52,67,2,12.1,11.713,7.6958758654655
2018-07-25,1532476800,52,67,10,12.7,11.713,8.10287019703537
2018-07-25,1532476800,56,105,3,9.69,15.142,6.69353721605148
2018-07-25,1532476800,56,105,10,6.03,15.142,9.52223854255863
2018-05-23,1527033600,209,110,6,4.47,11.873,3.5822890822601
2018-05-23,1527033600,209,110,10,2.58,11.873,3.62174068868626
2018-05-23,1527033600,209,110,10,2.56,11.873,3.62174068868626
2018-06-21,1529539200,209,110,4,3.98,11.873,3.79006132789073
2018-06-21,1529539200,209,110,10,3.63,11.873,3.87957106795511
2018-06-21,1529539200,209,110,10,1.35,11.873,3.87957106795511
2018-07-28,1532736000,48,66,2,3.27,15.192,6.84817177898367
2018-07-28,1532736000,48,66,9,0.61,15.192,7.21346032150905
2018-07-28,1532736000,31,79,2,0.61,14.994,6.70888539389125
2018-07-28,1532736000,31,79,10,1.38,14.994,7.47034573578276
2018-07-28,1532736000,58,70,2,5.23,15.774,6.67464928483241
2018-07-28,1532736000,58,70,9,0.61,15.774,7.7719569162582
2018-07-29,1532822400,176,8,2,4.63,13.872,21.778252630611
2018-07-29,1532822400,176,8,9,5.91,13.872,22.1500358748017
2018-07-27,1532649600,68,73,2,0.61,12.984,8.31071247375803
2018-07-27,1532649600,68,73,7,1.81,12.984,8.41382279759273
2018-07-30,1532908800,68,73,2,7.95,12.984,8.19677188701462
2018-07-30,1532908800,68,73,7,6.78,12.984,8.24890412332024
2018-07-29,1532822400,173,16,2,43.7,18.394,8.6322379502235
2018-07-29,1532822400,173,16,8,105,18.394,8.50543801789172
2018-07-28,1532736000,76,70,2,1.31,16.029,8.51843014970655
2018-07-28,1532736000,76,70,9,0.61,16.029,8.42079953145003
2018-07-30,1532908800,76,70,2,12.7,16.029,7.80084792495472
2018-07-30,1532908800,76,70,9,8.49,16.029,8.04541105026146
2018-07-27,1532649600,87,59,2,4.41,15.115,8.27348867460387
2018-07-27,1532649600,87,59,10,5.62,15.115,8.6053587438073
2018-07-29,1532822400,170,33,2,5.89,18.313,7.0181658884394
2018-07-29,1532822400,170,33,8,5.38,18.313,7.65411004977068
2018-07-28,1532736000,106,57,2,6.32,16.301,7.70506449043751
2018-07-28,1532736000,106,57,10,5.86,16.301,8.08491495263297
2018-07-29,1532822400,125,57,2,6.61,19.675,7.4758045229828
2018-07-29,1532822400,125,57,8,9.6,19.675,7.78698904468911
2018-07-29,1532822400,141,57,2,6.08,19.192,7.360739800788
2018-07-29,1532822400,141,57,8,7.68,19.192,7.71854956838069
2018-06-20,1529452800,181,16,2,5,2.505,8.08898766990751
2018-06-20,1529452800,181,16,3,7,2.505,8.3441427705111
2018-07-25,1532476800,181,16,3,6,2.505,7.47886315366486
2018-08-21,1534809600,181,16,2,8,2.505,6.23409323452506
2018-08-21,1534809600,181,16,3,10,2.505,6.25327356829075
2018-09-20,1537401600,181,16,2,9,2.505,10.9372776933014
2018-09-20,1537401600,181,16,3,19,2.505,10.8386257124948
2018-05-25,1527206400,181,17,2,12,3.505,16.3998702191748
2018-05-25,1527206400,181,17,4,10,3.505,16.3933455041843
2018-06-20,1529452800,181,17,2,4,3.505,7.96544009062927
2018-06-20,1529452800,181,17,4,6,3.505,8.28359497972997
2018-07-25,1532476800,181,17,2,19,3.505,7.44277394915116
2018-08-21,1534809600,181,17,2,7,3.505,6.2100525610731
2018-08-21,1534809600,181,17,4,6,3.505,6.40945245322655
2018-09-20,1537401600,181,17,2,11,3.505,10.4386499515385
2018-09-20,1537401600,181,17,4,12,3.505,10.2276535471901
2018-07-25,1532476800,181,17,4,8,3.505,7.49015134715592
2018-08-21,1534809600,181,17,2,5,3.505,6.2100525610731
2018-08-21,1534809600,181,17,4,4,3.505,6.40945245322655
2018-09-20,1537401600,181,17,2,7,3.505,10.4386499515385
2018-09-20,1537401600,181,17,4,21,3.505,10.2276535471901
2018-08-21,1534809600,180,21,1,7,14.902,6.14610644333879
2018-09-20,1537401600,180,21,1,6,14.902,8.16416923044017
2018-09-20,1537401600,180,21,10,11,14.902,8.52060384204378
2018-05-22,1526947200,92,49,2,6,3.959,7.58177338866517
2018-05-22,1526947200,92,49,3,7,3.959,7.59007070882944
2018-06-19,1529366400,92,49,2,6,3.959,10.1693794931634
2018-06-19,1529366400,92,49,3,8,3.959,10.1825653473497
2018-07-24,1532390400,92,49,2,9,3.959,8.79960862221196
2018-07-24,1532390400,92,49,3,9,3.959,8.84047767613083
2018-08-20,1534723200,92,49,2,6,3.959,9.78463594947243
2018-08-20,1534723200,92,49,3,41,3.959,9.2847094492754
2018-05-22,1526947200,92,51,2,5,4.892,7.55330893298378
2018-05-22,1526947200,92,51,5,12,4.892,7.6312408054946
2018-06-19,1529366400,92,51,2,5,4.892,9.96860399027355
2018-06-19,1529366400,92,51,5,5,4.892,10.0543638836825
2018-07-24,1532390400,92,51,2,8,4.892,8.70311396283796
2018-07-24,1532390400,92,51,5,8,4.892,9.02048304851633
2018-08-20,1534723200,92,51,2,6,4.892,9.97345523501281
2018-08-20,1534723200,92,51,5,6,4.892,8.66674236021936
