"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2018-08-14,1534204800,52,67,1,6.61,11.713,21.6632543015294
2018-04-09,1523232000,52,67,1,5.133,11.713,6.77876187182846
2018-04-10,1523318400,75,71,1,6.626,16.675,22.8131848416524
2018-08-14,1534204800,75,71,1,5.742,16.675,23.4365761571098
2018-08-14,1534204800,75,71,8,3.699,16.675,18.8777012226637
2018-08-14,1534204800,143,108,1,4.622,8.264,3.6115422972216
2018-04-10,1523318400,143,108,1,3.23,8.264,5.38528956894879
2018-08-17,1534464000,52,67,1,9.5,11.713,13.7134265969507
2018-08-17,1534464000,52,67,9,6.9,11.713,16.7985108419089
2018-08-17,1534464000,58,67,1,6.9,12.252,14.9491179399774
2018-08-17,1534464000,10,91,1,45.7,3.192,7.48373895476107
2018-08-17,1534464000,10,91,1,54.6,3.192,7.48373895476107
2018-08-17,1534464000,12,90,1,30.9,3.192,7.28971917851595
2018-08-17,1534464000,12,90,3,26.7,3.192,8.11367499409243
2018-08-17,1534464000,12,90,3,112,3.192,8.11367499409243
2018-08-17,1534464000,15,91,1,52.2,3.192,7.61988258091151
2018-08-17,1534464000,15,91,3,42.4,3.192,8.45013073558221
2018-08-17,1534464000,73,63,1,8,10.742,24.0761637542164
2018-08-17,1534464000,73,63,10,5.7,10.742,24.6894342126325
2018-08-17,1534464000,66,73,1,6.6,13.235,17.2512591234408
2018-08-16,1534377600,173,14,1,9.8,15.578,11.4450403998489
2018-08-16,1534377600,173,14,7,9.1,15.578,11.5173497761134
2018-08-17,1534464000,85,61,1,6,17.667,22.581938537769
2018-08-13,1534118400,33,96,1,5.1,18.224,8.53371238918044
2018-08-16,1534377600,230,80,1,8.8,17.601,6.2561193772126
2018-08-16,1534377600,230,80,6,8.2,17.601,7.08483685230021
2018-05-23,1527033600,230,80,2,6.2,17.601,7.45136867408291
2018-05-23,1527033600,230,80,6,6.1,17.601,7.458875188604
2018-08-14,1534204800,56,105,1,8.1,15.142,7.87883527664235
2018-08-14,1534204800,56,105,7,10.6,15.142,8.42544341139728
2018-08-14,1534204800,56,105,9,10.3,15.142,8.68654387886636
2018-08-14,1534204800,61,104,1,16.3,8.031,6.86239127389854
2018-08-14,1534204800,62,104,2,26.1,7.898,6.60771593175014
2018-08-14,1534204800,62,104,8,21.7,7.898,8.67944436322432
2018-08-14,1534204800,69,104,1,6.5,10.692,6.02772661295603
2018-08-14,1534204800,98,107,1,8.4,19.091,4.92016897624126
2018-08-14,1534204800,143,108,1,5.2,8.264,3.6115422972216
2018-05-22,1526947200,143,108,2,6.1,8.264,4.83622307001497
2018-05-22,1526947200,143,108,8,5.7,8.264,5.14357634529006
2018-05-22,1526947200,143,108,8,6.3,8.264,5.14357634529006
2018-08-15,1534291200,166,112,1,5,17.575,9.41416692512576
2018-08-15,1534291200,166,112,1,4.9,17.575,9.41416692512576
2018-08-15,1534291200,236,120,1,15.2,18.642,5.03309092891868
2018-07-25,1532476800,52,67,2,12.1,11.713,17.5418372236891
2018-07-25,1532476800,52,67,10,12.7,11.713,15.4994831973454
2018-07-25,1532476800,56,105,3,9.69,15.142,6.70517192702391
2018-07-25,1532476800,56,105,10,6.03,15.142,9.5346413218067
2018-05-23,1527033600,209,110,6,4.47,11.873,3.5822890822601
2018-05-23,1527033600,209,110,10,2.58,11.873,3.62174068868626
2018-05-23,1527033600,209,110,10,2.56,11.873,3.62174068868626
2018-06-21,1529539200,209,110,4,3.98,11.873,3.79006132789073
2018-06-21,1529539200,209,110,10,3.63,11.873,3.87957106795511
2018-06-21,1529539200,209,110,10,1.35,11.873,3.87957106795511
2018-07-28,1532736000,48,66,2,3.27,15.192,10.4168102552649
2018-07-28,1532736000,48,66,9,0.61,15.192,11.8705956992926
2018-07-28,1532736000,31,79,2,0.61,14.994,8.78236460266635
2018-07-28,1532736000,31,79,10,1.38,14.994,10.1718233054271
2018-07-28,1532736000,58,70,2,5.23,15.774,10.7799760371563
2018-07-28,1532736000,58,70,9,0.61,15.774,15.1795429701451
2018-07-29,1532822400,176,8,2,4.63,13.872,25.9138214460108
2018-07-29,1532822400,176,8,9,5.91,13.872,26.3751480815699
2018-07-27,1532649600,68,73,2,0.61,12.984,22.0921356230974
2018-07-27,1532649600,68,73,7,1.81,12.984,22.0992551476229
2018-07-30,1532908800,68,73,2,7.95,12.984,22.8319804591592
2018-07-30,1532908800,68,73,7,6.78,12.984,22.6241572818253
2018-07-29,1532822400,173,16,2,43.7,18.394,13.017271157878
2018-07-29,1532822400,173,16,8,105,18.394,13.1712549773511
2018-07-28,1532736000,76,70,2,1.31,16.029,23.572798454552
2018-07-28,1532736000,76,70,9,0.61,16.029,20.41005063802
2018-07-30,1532908800,76,70,2,12.7,16.029,19.541123037925
2018-07-30,1532908800,76,70,9,8.49,16.029,18.7288896995597
2018-07-27,1532649600,87,59,2,4.41,15.115,21.8930927076144
2018-07-27,1532649600,87,59,10,5.62,15.115,19.7003228095127
2018-07-29,1532822400,170,33,2,5.89,18.313,10.9330676423269
2018-07-29,1532822400,170,33,8,5.38,18.313,11.8897578431643
2018-07-28,1532736000,106,57,2,6.32,16.301,18.4226391866105
2018-07-28,1532736000,106,57,10,5.86,16.301,18.3072224899661
2018-07-29,1532822400,125,57,2,6.61,19.675,16.8120477610501
2018-07-29,1532822400,125,57,8,9.6,19.675,17.2889886016492
2018-07-29,1532822400,141,57,2,6.08,19.192,14.3989591379068
2018-07-29,1532822400,141,57,8,7.68,19.192,14.4645418913569
2018-06-20,1529452800,181,16,2,5,2.505,13.7258148242836
2018-06-20,1529452800,181,16,3,7,2.505,14.1664959301124
2018-07-25,1532476800,181,16,3,6,2.505,12.3802792586503
2018-08-21,1534809600,181,16,2,8,2.505,9.75086186372209
2018-08-21,1534809600,181,16,3,10,2.505,9.77494983089855
2018-09-20,1537401600,181,16,2,9,2.505,12.7597259051981
2018-09-20,1537401600,181,16,3,19,2.505,12.6631712191738
2018-05-25,1527206400,181,17,2,12,3.505,20.2950595848961
2018-05-25,1527206400,181,17,4,10,3.505,20.3092422452755
2018-06-20,1529452800,181,17,2,4,3.505,13.5170967041631
2018-06-20,1529452800,181,17,4,6,3.505,14.078477761359
2018-07-25,1532476800,181,17,2,19,3.505,12.3293539218139
2018-08-21,1534809600,181,17,2,7,3.505,9.74001159192994
2018-08-21,1534809600,181,17,4,6,3.505,10.0813222161378
2018-09-20,1537401600,181,17,2,11,3.505,12.2508345157257
2018-09-20,1537401600,181,17,4,12,3.505,12.0436525321566
2018-07-25,1532476800,181,17,4,8,3.505,12.4092202895554
2018-08-21,1534809600,181,17,2,5,3.505,9.74001159192994
2018-08-21,1534809600,181,17,4,4,3.505,10.0813222161378
2018-09-20,1537401600,181,17,2,7,3.505,12.2508345157257
