"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2018-08-14,1534204800,52,67,1,6.61,11.713,8.72506643645465
2018-04-09,1523232000,52,67,1,5.133,11.713,6.77876914778608
2018-04-10,1523318400,75,71,1,6.626,16.675,36.0780286428053
2018-08-14,1534204800,75,71,1,5.742,16.675,9.27218661672669
2018-08-14,1534204800,75,71,8,3.699,16.675,8.66434584168019
2018-08-14,1534204800,143,108,1,4.622,8.264,3.61168486051611
2018-04-10,1523318400,143,108,1,3.23,8.264,5.38528956894879
2018-08-17,1534464000,52,67,1,9.5,11.713,7.18988030712353
2018-08-17,1534464000,52,67,9,6.9,11.713,8.44344594952418
2018-08-17,1534464000,58,67,1,6.9,12.252,7.49644186726073
2018-08-17,1534464000,10,91,1,45.7,3.192,6.71235875415732
2018-08-17,1534464000,10,91,1,54.6,3.192,6.71235875415732
2018-08-17,1534464000,12,90,1,30.9,3.192,6.49204275759985
2018-08-17,1534464000,12,90,3,26.7,3.192,7.0358128141379
2018-08-17,1534464000,12,90,3,112,3.192,7.0358128141379
2018-08-17,1534464000,15,91,1,52.2,3.192,6.49191315460484
2018-08-17,1534464000,15,91,3,42.4,3.192,7.02835495758336
2018-08-17,1534464000,73,63,1,8,10.742,8.64901994646061
2018-08-17,1534464000,73,63,10,5.7,10.742,9.41376765695168
2018-08-17,1534464000,66,73,1,6.6,13.235,7.7578461059602
2018-08-16,1534377600,173,14,1,9.8,15.578,6.95888047630433
2018-08-16,1534377600,173,14,7,9.1,15.578,7.34207560526556
2018-08-17,1534464000,85,61,1,6,17.667,8.75516252563102
2018-08-13,1534118400,33,96,1,5.1,18.224,6.4948894760164
2018-08-16,1534377600,230,80,1,8.8,17.601,5.77019909542287
2018-08-16,1534377600,230,80,6,8.2,17.601,6.61055582895642
2018-05-23,1527033600,230,80,2,6.2,17.601,7.57765383241349
2018-05-23,1527033600,230,80,6,6.1,17.601,7.5845314313483
2018-08-14,1534204800,56,105,1,8.1,15.142,7.35948879082571
2018-08-14,1534204800,56,105,7,10.6,15.142,8.21162029751576
2018-08-14,1534204800,56,105,9,10.3,15.142,8.51966433401685
2018-08-14,1534204800,61,104,1,16.3,8.031,6.64399385641445
2018-08-14,1534204800,62,104,2,26.1,7.898,6.44904912405764
2018-08-14,1534204800,62,104,8,21.7,7.898,8.48238869366469
2018-08-14,1534204800,69,104,1,6.5,10.692,5.94716175328358
2018-08-14,1534204800,98,107,1,8.4,19.091,4.91740956931608
2018-08-14,1534204800,143,108,1,5.2,8.264,3.61168486051611
2018-05-22,1526947200,143,108,2,6.1,8.264,4.83622307001497
2018-05-22,1526947200,143,108,8,5.7,8.264,5.14357634529006
2018-05-22,1526947200,143,108,8,6.3,8.264,5.14357634529006
2018-08-15,1534291200,166,112,1,5,17.575,9.41442704061046
2018-08-15,1534291200,166,112,1,4.9,17.575,9.41442704061046
2018-08-15,1534291200,236,120,1,15.2,18.642,4.95750555273844
2018-07-25,1532476800,52,67,2,12.1,11.713,7.24361325410428
2018-07-25,1532476800,52,67,10,12.7,11.713,8.17702857602853
2018-07-25,1532476800,56,105,3,9.69,15.142,6.69424707666622
2018-07-25,1532476800,56,105,10,6.03,15.142,9.52246682572877
2018-05-23,1527033600,209,110,6,4.47,11.873,3.5822890822601
2018-05-23,1527033600,209,110,10,2.58,11.873,3.62174068868626
2018-05-23,1527033600,209,110,10,2.56,11.873,3.62174068868626
2018-06-21,1529539200,209,110,4,3.98,11.873,3.79008429263195
2018-06-21,1529539200,209,110,10,3.63,11.873,3.87959426007001
2018-06-21,1529539200,209,110,10,1.35,11.873,3.87959426007001
2018-07-28,1532736000,48,66,2,3.27,15.192,7.18585260983673
2018-07-28,1532736000,48,66,9,0.61,15.192,7.61427145334892
2018-07-28,1532736000,31,79,2,0.61,14.994,6.82053405398619
2018-07-28,1532736000,31,79,10,1.38,14.994,7.65613003750332
2018-07-28,1532736000,58,70,2,5.23,15.774,6.8981021286163
2018-07-28,1532736000,58,70,9,0.61,15.774,7.88047600508435
2018-07-29,1532822400,176,8,2,4.63,13.872,21.7990091186948
2018-07-29,1532822400,176,8,9,5.91,13.872,22.1718819375383
2018-07-27,1532649600,68,73,2,0.61,12.984,7.2350317168457
2018-07-27,1532649600,68,73,7,1.81,12.984,7.3317819442309
2018-07-30,1532908800,68,73,2,7.95,12.984,8.22988658910617
2018-07-30,1532908800,68,73,7,6.78,12.984,8.28448628453771
2018-07-29,1532822400,173,16,2,43.7,18.394,8.6593272499158
2018-07-29,1532822400,173,16,8,105,18.394,8.55224334372906
2018-07-28,1532736000,76,70,2,1.31,16.029,7.56450526750996
2018-07-28,1532736000,76,70,9,0.61,16.029,7.69087910157396
2018-07-30,1532908800,76,70,2,12.7,16.029,7.71851591707673
2018-07-30,1532908800,76,70,9,8.49,16.029,7.92272567196051
2018-07-27,1532649600,87,59,2,4.41,15.115,7.39604729460552
2018-07-27,1532649600,87,59,10,5.62,15.115,9.06095101527171
2018-07-29,1532822400,170,33,2,5.89,18.313,7.09038749846513
2018-07-29,1532822400,170,33,8,5.38,18.313,7.73323154135142
2018-07-28,1532736000,106,57,2,6.32,16.301,7.65600725571858
2018-07-28,1532736000,106,57,10,5.86,16.301,8.84145720192464
2018-07-29,1532822400,125,57,2,6.61,19.675,7.69185771787306
2018-07-29,1532822400,125,57,8,9.6,19.675,8.38119922264013
2018-07-29,1532822400,141,57,2,6.08,19.192,8.28562042443082
2018-07-29,1532822400,141,57,8,7.68,19.192,8.54636073199799
2018-06-20,1529452800,181,16,2,5,2.505,9.05410524865147
2018-06-20,1529452800,181,16,3,7,2.505,9.33752471610205
2018-07-25,1532476800,181,16,3,6,2.505,7.49254695620039
2018-08-21,1534809600,181,16,2,8,2.505,6.4673945416871
2018-08-21,1534809600,181,16,3,10,2.505,6.48723653284833
2018-09-20,1537401600,181,16,2,9,2.505,11.2001398520079
2018-09-20,1537401600,181,16,3,19,2.505,11.1033668872551
2018-05-25,1527206400,181,17,2,12,3.505,21.0989128390793
2018-05-25,1527206400,181,17,4,10,3.505,21.1028582270956
2018-06-20,1529452800,181,17,2,4,3.505,8.91562558535952
2018-06-20,1529452800,181,17,4,6,3.505,9.26374468690483
2018-07-25,1532476800,181,17,2,19,3.505,7.45469333196525
2018-08-21,1534809600,181,17,2,7,3.505,6.44274223304819
2018-08-21,1534809600,181,17,4,6,3.505,6.64827348373365
2018-09-20,1537401600,181,17,2,11,3.505,10.7059213405591
2018-09-20,1537401600,181,17,4,12,3.505,10.498626579647
2018-07-25,1532476800,181,17,4,8,3.505,7.50193203202798
2018-08-21,1534809600,181,17,2,5,3.505,6.44274223304819
