FID_LOLA20,Date,Lat,Long,I,J,Depth_m,TP_ug_L,Site,Sta_depth_,Field10,Field11,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K,
77,5/23/2013,43.28170000000,-77.44000000000,,,15.00000000000,4.47600000000,717,25.00000000000,,,9465,2.69000000000e+002,"(181,25)",181,25,-1.29550e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.662704,,6.662704,0,,181-25,1.31470000000,181,25,181-25,13.14700000000,10,10,
112,7/12/2013,43.28170000000,-77.44000000000,,,0.00000000000,0.00000000000,717,25.00000000000,,,9465,2.69000000000e+002,"(181,25)",181,25,-1.29550e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.662704,,6.662704,0,,181-25,1.31470000000,181,25,181-25,13.14700000000,10,1,
113,7/12/2013,43.28170000000,-77.44000000000,,,0.00000000000,3.68000000000,717,25.00000000000,,,9465,2.69000000000e+002,"(181,25)",181,25,-1.29550e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.662704,,6.662704,0,,181-25,1.31470000000,181,25,181-25,13.14700000000,10,1,
184,7/21/2013,43.28170000000,-77.44000000000,,,5.00000000000,4.08600000000,717,25.00000000000,,,9465,2.69000000000e+002,"(181,25)",181,25,-1.29550e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.662704,,6.662704,0,,181-25,1.31470000000,181,25,181-25,13.14700000000,10,4,
185,7/21/2013,43.28170000000,-77.44000000000,,,32.00000000000,4.86100000000,717,25.00000000000,,,9465,2.69000000000e+002,"(181,25)",181,25,-1.29550e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.662704,,6.662704,0,,181-25,1.31470000000,181,25,181-25,13.14700000000,10,10,
133,7/19/2013,43.36000000000,-78.73000000000,,,22.00000000000,2.95400000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,8,
134,7/19/2013,43.36000000000,-78.73000000000,,,5.00000000000,7.42600000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,2,
135,7/19/2013,43.36000000000,-78.73000000000,,,5.00000000000,0.00000000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,2,
136,7/19/2013,43.36000000000,-78.73000000000,,,17.00000000000,3.13600000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,6,
215,9/10/2013,43.36000000000,-78.73000000000,,,5.00000000000,7.53300000000,35,37.00000000000,,,3540,4.10800000000e+003,"(96,67)",96,67,-3.01325e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.823115,,5.823115,0,,96-67,3.03240000000,96,67,96-67,30.32400000000,10,2,
