"Date","JulianDate","Latitude","Longitude","I_Index","J_Index","K_Index","Number_Layers","Sigma_Layer_Thickness","TP","Sample_Depth","Water_Depth","Modeled_TP"
2018-07-28,1532736000,43.25975797,-79.19928208,58,70,2,10,1.5774,5.23,2,15.774,6.25337952442351
2018-07-28,1532736000,43.25975797,-79.19928208,58,70,9,10,1.5774,0.61,13.9,15.774,7.11471511749551
2018-07-29,1532822400,43.25144864,-77.53790759,176,8,2,10,1.3872,4.63,2,13.872,20.8904784813058
2018-07-29,1532822400,43.25144864,-77.53790759,176,8,9,10,1.3872,5.91,12,13.872,21.2425784411607
2018-07-27,1532649600,43.30740666,-79.09493317,68,73,2,10,1.2984,0.61,2,12.984,7.31352702132426
2018-07-27,1532649600,43.30740666,-79.09493317,68,73,7,10,1.2984,1.81,9,12.984,7.40495897844085
2018-07-30,1532908800,43.30740666,-79.09493317,68,73,2,10,1.2984,7.95,2,12.984,7.40409268473741
2018-07-30,1532908800,43.30740666,-79.09493317,68,73,7,10,1.2984,6.78,8.3,12.984,7.45649867894826
2018-07-29,1532822400,43.27878308,-77.59303948,173,16,2,10,1.8394,43.7,2,18.394,7.68983773014043
2018-07-29,1532822400,43.27878308,-77.59303948,173,16,8,10,1.8394,105,13,18.394,7.49967330193613
2018-07-28,1532736000,43.31628741,-78.97606763,76,70,2,10,1.6029,1.31,2,16.029,7.46089017411578
2018-07-28,1532736000,43.31628741,-78.97606763,76,70,9,10,1.6029,0.61,13,16.029,7.47484864405124
2018-07-30,1532908800,43.31628741,-78.97606763,76,70,2,10,1.6029,12.7,2,16.029,7.10983204044169
2018-07-30,1532908800,43.31628741,-78.97606763,76,70,9,10,1.6029,8.49,12.9,16.029,7.30834881323972
2018-07-27,1532649600,43.33049012,-78.8408966,87,59,2,10,1.5115,4.41,2,15.115,7.3008241088246
2018-07-27,1532649600,43.33049012,-78.8408966,87,59,10,10,1.5115,5.62,14,15.115,7.67142591939773
2018-07-29,1532822400,43.30934524,-77.63850403,170,33,2,10,1.8313,5.89,2,18.313,6.19701768300729
2018-07-29,1532822400,43.30934524,-77.63850403,170,33,8,10,1.8313,5.38,13.6,18.313,6.74685270496411
2018-07-28,1532736000,43.37306922,-78.60353708,106,57,2,10,1.6301,6.32,2,16.301,6.88967338646762
2018-07-28,1532736000,43.37306922,-78.60353708,106,57,10,10,1.6301,5.86,16.6,16.301,7.2025627559924
2018-07-29,1532822400,43.38716753,-78.35220652,125,57,2,10,1.9675,6.61,2,19.675,6.71214002068155
2018-07-29,1532822400,43.38716753,-78.35220652,125,57,8,10,1.9675,9.6,14.5,19.675,6.93903302817489
2018-07-29,1532822400,43.38823828,-78.11128609,141,57,2,10,1.9192,6.08,2,19.192,6.51094524073415
2018-07-29,1532822400,43.38823828,-78.11128609,141,57,8,10,1.9192,7.68,14.9,19.192,6.8226904659241
2018-06-20,1529452800,43.26585,-77.43748,181,16,2,3,0.835,5,1,2.505,7.34180684958119
2018-06-20,1529452800,43.26585,-77.43748,181,16,3,3,0.835,7,2.9,2.505,7.5698890213971
2018-07-25,1532476800,43.26585,-77.43748,181,16,3,3,0.835,6,2.9,2.505,6.42903569314512
2018-08-21,1534809600,43.26585,-77.43748,181,16,2,3,0.835,8,1,2.505,5.66311473448877
2018-08-21,1534809600,43.26585,-77.43748,181,16,3,3,0.835,10,2.9,2.505,5.68066570849624
2018-09-20,1537401600,43.26585,-77.43748,181,16,2,3,0.835,9,1,2.505,10.566597666184
2018-09-20,1537401600,43.26585,-77.43748,181,16,3,3,0.835,19,2.9,2.505,10.4669088614173
2018-05-25,1527206400,43.269,-77.4431,181,17,2,4,0.87625,12,1,3.505,12.5630494949291
2018-05-25,1527206400,43.269,-77.4431,181,17,4,4,0.87625,10,5.9,3.505,12.5439510156866
2018-06-20,1529452800,43.269,-77.4431,181,17,2,4,0.87625,4,1,3.505,7.22851928003365
2018-06-20,1529452800,43.269,-77.4431,181,17,4,4,0.87625,6,5.9,3.505,7.50666777094011
2018-07-25,1532476800,43.269,-77.4431,181,17,2,4,0.87625,19,1,3.505,6.39631934973295
2018-08-21,1534809600,43.269,-77.4431,181,17,2,4,0.87625,7,1,3.505,5.64081437914865
2018-08-21,1534809600,43.269,-77.4431,181,17,4,4,0.87625,6,5.9,3.505,5.81222911932855
2018-09-20,1537401600,43.269,-77.4431,181,17,2,4,0.87625,11,1,3.505,10.0683600976481
2018-09-20,1537401600,43.269,-77.4431,181,17,4,4,0.87625,12,5.9,3.505,9.8555174190551
2018-07-25,1532476800,43.27143,-77.44697,181,17,4,4,0.87625,8,9.9,3.505,6.43670728095458
2018-08-21,1534809600,43.27143,-77.44697,181,17,2,4,0.87625,5,1,3.505,5.64081437914865
2018-08-21,1534809600,43.27143,-77.44697,181,17,4,4,0.87625,4,9.9,3.505,5.81222911932855
2018-09-20,1537401600,43.27143,-77.44697,181,17,2,4,0.87625,7,1,3.505,10.0683600976481
2018-09-20,1537401600,43.27143,-77.44697,181,17,4,4,0.87625,21,9.9,3.505,9.8555174190551
2018-08-21,1534809600,43.27779,-77.45392,180,21,1,10,1.4902,7,1,14.902,5.58973806619179
2018-09-20,1537401600,43.27779,-77.45392,180,21,1,10,1.4902,6,1,14.902,7.79482161306078
2018-09-20,1537401600,43.27779,-77.45392,180,21,10,10,1.4902,11,17.9,14.902,8.14654777059332
2018-05-22,1526947200,43.33023,-78.76993,92,49,2,4,0.98975,6,1,3.959,7.56115923650214
2018-05-22,1526947200,43.33023,-78.76993,92,49,3,4,0.98975,7,2.9,3.959,7.56993404138484
2018-06-19,1529366400,43.33023,-78.76993,92,49,2,4,0.98975,6,1,3.959,7.19487843525712
2018-06-19,1529366400,43.33023,-78.76993,92,49,3,4,0.98975,8,2.9,3.959,7.20058642400545
2018-07-24,1532390400,43.33023,-78.76993,92,49,2,4,0.98975,9,1,3.959,7.78945832280442
2018-07-24,1532390400,43.33023,-78.76993,92,49,3,4,0.98975,9,2.9,3.959,7.82655115472153
2018-08-20,1534723200,43.33023,-78.76993,92,49,2,4,0.98975,6,1,3.959,9.02498868526891
2018-08-20,1534723200,43.33023,-78.76993,92,49,3,4,0.98975,41,2.9,3.959,8.50230844662292
2018-05-22,1526947200,43.33273,-78.77035,92,51,2,5,0.9784,5,1,4.892,7.47456942917779
2018-05-22,1526947200,43.33273,-78.77035,92,51,5,5,0.9784,12,5.9,4.892,7.55703149479814
2018-06-19,1529366400,43.33273,-78.77035,92,51,2,5,0.9784,5,1,4.892,7.16673730494222
2018-06-19,1529366400,43.33273,-78.77035,92,51,5,5,0.9784,5,5.9,4.892,7.21303104000981
2018-07-24,1532390400,43.33273,-78.77035,92,51,2,5,0.9784,8,1,4.892,7.71134909882676
2018-07-24,1532390400,43.33273,-78.77035,92,51,5,5,0.9784,8,5.9,4.892,7.9853061834001
2018-08-20,1534723200,43.33273,-78.77035,92,51,2,5,0.9784,6,1,4.892,9.24640517041553
2018-08-20,1534723200,43.33273,-78.77035,92,51,5,5,0.9784,6,5.9,4.892,7.8886605479056
2018-05-22,1526947200,43.3416,-78.77143,93,58,1,10,1.1174,5,1,11.174,7.21406422599102
2018-05-22,1526947200,43.3416,-78.77143,93,58,9,10,1.1174,5,9.9,11.174,7.43613418308087
2018-06-20,1529452800,43.3416,-78.77143,93,58,9,10,1.1174,6,9.9,11.174,7.35392268325086
2018-07-24,1532390400,43.3416,-78.77143,93,58,1,10,1.1174,6,1,11.174,7.04486319591524
2018-07-24,1532390400,43.3416,-78.77143,93,58,9,10,1.1174,9,9.9,11.174,7.82569259172305
2018-08-20,1534723200,43.3416,-78.77143,93,58,1,10,1.1174,9,1,11.174,7.39534561944311
2018-08-20,1534723200,43.3416,-78.77143,93,58,9,10,1.1174,5,9.9,11.174,7.62114814278902
2018-05-22,1526947200,43.34637,-78.77223,93,62,1,10,1.7513,5,1,17.513,7.13190138412756
2018-05-22,1526947200,43.34637,-78.77223,93,62,10,10,1.7513,9,17.9,17.513,7.39687766326824
2018-06-20,1529452800,43.34637,-78.77223,93,62,10,10,1.7513,90,17.9,17.513,7.56223562348168
2018-07-24,1532390400,43.34637,-78.77223,93,62,1,10,1.7513,5,1,17.513,6.90816295900731
2018-07-24,1532390400,43.34637,-78.77223,93,62,10,10,1.7513,11,17.9,17.513,8.11256177257746
2018-08-20,1534723200,43.34637,-78.77223,93,62,1,10,1.7513,11,1,17.513,7.29221073925146
2018-08-20,1534723200,43.34637,-78.77223,93,62,10,10,1.7513,6,17.9,17.513,8.06592561275465
2018-05-24,1527120000,43.91497,-76.29276,246,107,1,10,1.7294,6,1,17.294,4.0072468436847
2018-05-24,1527120000,43.91497,-76.29276,246,107,10,10,1.7294,9,17.9,17.294,5.17683429279714
2018-06-22,1529625600,43.91497,-76.29276,246,107,1,10,1.7294,5,1,17.294,4.38322740592412
2018-06-22,1529625600,43.91497,-76.29276,246,107,10,10,1.7294,8,17.9,17.294,4.65058428744669
2018-07-27,1532649600,43.91497,-76.29276,246,107,1,10,1.7294,6,1,17.294,4.39475070379558
2018-07-27,1532649600,43.91497,-76.29276,246,107,10,10,1.7294,6,17.9,17.294,5.22500067745568
2018-08-23,1534982400,43.91497,-76.29276,246,107,1,10,1.7294,5,1,17.294,4.77567846246529
2018-08-23,1534982400,43.91497,-76.29276,246,107,10,10,1.7294,5,17.9,17.294,4.84209431306226
2018-09-17,1537142400,43.91497,-76.29276,246,107,1,10,1.7294,6,1,17.294,4.72713190902141
2018-09-17,1537142400,43.91497,-76.29276,246,107,10,10,1.7294,9,17.9,17.294,5.1781994443445
2018-05-24,1527120000,43.91617,-76.30235,246,107,1,10,1.7294,6,1,17.294,4.0072468436847
2018-05-24,1527120000,43.91617,-76.30235,246,107,4,10,1.7294,10,5.9,17.294,4.00747785533895
2018-06-21,1529539200,43.91617,-76.30235,246,107,1,10,1.7294,6,1,17.294,4.41418842456187
2018-06-21,1529539200,43.91617,-76.30235,246,107,4,10,1.7294,7,5.9,17.294,4.41487418356701
2018-07-26,1532563200,43.91617,-76.30235,246,107,1,10,1.7294,5,1,17.294,4.44889701611828
2018-07-26,1532563200,43.91617,-76.30235,246,107,4,10,1.7294,8,5.9,17.294,4.45622117695166
2018-08-23,1534982400,43.91617,-76.30235,246,107,1,10,1.7294,6,1,17.294,4.77567846246529
2018-08-23,1534982400,43.91617,-76.30235,246,107,4,10,1.7294,19,5.9,17.294,4.77574940305203
2018-09-18,1537228800,43.91617,-76.30235,246,107,1,10,1.7294,6,1,17.294,4.70582426714827
2018-09-18,1537228800,43.91617,-76.30235,246,107,4,10,1.7294,13,5.9,17.294,4.71892690256936
2018-05-24,1527120000,43.91615,-76.29678,246,107,1,10,1.7294,5,1,17.294,4.0072468436847
2018-05-24,1527120000,43.91615,-76.29678,246,107,6,10,1.7294,4,9.9,17.294,4.19700882048346
2018-06-22,1529625600,43.91615,-76.29678,246,107,1,10,1.7294,5,1,17.294,4.38322740592412
2018-06-22,1529625600,43.91615,-76.29678,246,107,6,10,1.7294,6,9.9,17.294,4.51635469289613
2018-07-26,1532563200,43.91615,-76.29678,246,107,1,10,1.7294,5,1,17.294,4.44889701611828
2018-07-26,1532563200,43.91615,-76.29678,246,107,6,10,1.7294,7,9.9,17.294,4.46474768978078
2018-08-23,1534982400,43.91615,-76.29678,246,107,1,10,1.7294,5,1,17.294,4.77567846246529
2018-08-23,1534982400,43.91615,-76.29678,246,107,6,10,1.7294,6,9.9,17.294,4.77599860460032
2018-09-17,1537142400,43.91615,-76.29678,246,107,1,10,1.7294,9,1,17.294,4.72713190902141
2018-09-17,1537142400,43.91615,-76.29678,246,107,6,10,1.7294,8,9.9,17.294,4.85077634948539
