FID_WQchem,OBJECTID,OBJECTID2,EventCode,StationCod,Collection,Collecti_1,SiteDepth,Stratifica,SampleDept,Depths,TotalPhosp,Chloride_m,Project,STISdepth,Comments,_LAKE,FID_,StationNam,StationC_1,Transect,Lake,Year,Project_1,stat_Depth,LatitudeDD,LongitudeD,Notes,STIS__,SITE,STATION,PROJECT_12,DAT,SiteDep,blk_dup,Strat_,Epi_Dep,up_dept,lw_dpth,Ave_dep,TP_ug,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K,
24,25,27,stn39_20180522_D_LG,stn39,5/22/2018,20180522,153.00000000000,Unstrat,2M-INT,"2, 7, 20, 76.5, 151",4.76000000000,22.58,LOLA/CSMI,8016-1,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8016-1,39,2M-INT,LOLA/CSMI,5/22/2018,153.00000000000,,Unstrat,"2, 7, 20, 76.5, 151",2.00000000000,20.00000000000,11.00000000000,4.76000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,1,
25,26,28,stn39_20180522_D_LG,stn39,5/22/2018,20180522,153.00000000000,Unstrat,40M/ DCL,,2.41000000000,22.49,LOLA/CSMI,8016-5,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8016-5,39,40M/ DCL,LOLA/CSMI,5/22/2018,153.00000000000,,,,76.50000000000,76.50000000000,76.50000000000,2.41000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,5,
26,27,29,stn39_20180522_D_LG,stn39,5/22/2018,20180522,153.00000000000,Unstrat,B2/ Hypo,,2.55000000000,22.8,LOLA/CSMI,8016-7,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8016-7,39,B2/ Hypo,LOLA/CSMI,5/22/2018,153.00000000000,,,,151.00000000000,151.00000000000,151.00000000000,2.55000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,10,
86,89,94,stn39_20180620_D_LG,stn39,6/20/2018,20180620,153.70000000000,Strat,2M-INT,"1.9, 6, 14, 151.6",2.28000000000,22.99,LOLA/CSMI,8056-1,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8056-1,39,2M-INT,LOLA/CSMI,6/20/2018,153.70000000000,,Strat,"1.9, 6, 14, 151.6",1.90000000000,6.00000000000,4.00000000000,2.28000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,1,
87,90,95,stn39_20180620_D_LG,stn39,6/20/2018,20180620,153.70000000000,Strat,40M/ DCL,,3.44000000000,22.95,LOLA/CSMI,8056-5,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8056-5,39,40M/ DCL,LOLA/CSMI,6/20/2018,153.70000000000,,,,14.00000000000,14.00000000000,14.00000000000,3.44000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,1,
88,91,96,stn39_20180620_D_LG,stn39,6/20/2018,20180620,153.70000000000,Strat,B2/ Hypo,,0.61000000000,23.09,LOLA/CSMI,8056-7,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8056-7,39,B2/ Hypo,LOLA/CSMI,6/20/2018,153.70000000000,,,,151.60000000000,151.60000000000,151.60000000000,0.61000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,10,
159,169,178,stn39_20180927_D_LG,stn39,9/27/2018,20180927,152.70000000000,Strat,2M-INT,"2, 7, 14, 24, 150",5.84000000000,22,LOLA/CSMI,8306-1,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8306-1,39,2M-INT,LOLA/CSMI,9/27/2018,152.70000000000,,Strat,"2, 7, 14, 24, 150",2.00000000000,14.00000000000,8.00000000000,5.84000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,1,
160,170,179,stn39_20180927_D_LG,stn39,9/27/2018,20180927,152.70000000000,Strat,40M/ DCL,,7.21000000000,22.79,LOLA/CSMI,8306-5,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8306-5,39,40M/ DCL,LOLA/CSMI,9/27/2018,152.70000000000,,,,24.00000000000,24.00000000000,24.00000000000,7.21000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,2,
161,171,180,stn39_20180927_D_LG,stn39,9/27/2018,20180927,152.70000000000,Strat,B2/ Hypo,,5.94000000000,23.15,LOLA/CSMI,8306-7,,Ontario,150,Station 39,stn39,3,Ontario,2018,CSMI,154.00000000000,43.48610000000,-78.00030000000,,8306-7,39,B2/ Hypo,LOLA/CSMI,9/27/2018,152.70000000000,,,,150.00000000000,150.00000000000,150.00000000000,5.94000000000,6616,6.19600000000e+003,"(147,78)",147,78,-1.60676e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.599446,,4.599446,0,,147-78,16.08680000000,147,78,147-78,160.86800000000,10,10,
145,153,161,stn9_20180725_D_LEII,stn9,7/25/2018,20180725,59.00000000000,no data,2M-INT,"2, 8, 18, 20, 30, 40, 57.5",4.90000000000,23.84,LOLA/CSMI,8171-1,,Ontario,211,Station 9,stn9,1,Ontario,2018,CSMI,58.00000000000,43.58670000000,-79.39500000000,,8171-1,0,2M-INT,LOLA/CSMI,7/25/2018,59.00000000000,,no data,"2, 8, 18, 30, 57.5",2.00000000000,18.00000000000,10.00000000000,4.90000000000,1332,1.11920000000e+004,"(58,101)",58,101,-6.03499e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.952535,,5.952535,0,,58-101,6.05420000000,58,101,58-101,60.54200000000,10,2,
