"interval_number","vel1","vel2","vel3"
1,0.0499366949193209,0.0542478057560784,0.0320227382190292
2,0.10330202161271,0.106412066046227,0.0589979235216756
3,0.170872192953823,0.181009748000501,0.117037963347818
4,0.194873541859113,0.223067081789935,0.166808612979215
5,0.183851792286464,0.228061145540958,0.172685376729082
6,0.168592825853986,0.218260966868796,0.165774192410119
7,0.157040016082653,0.206769815915392,0.148488174552382
8,0.15046573304621,0.199076619408875,0.125758231361785
9,0.111463748565917,0.159345895616692,0.0842530485952163
10,0.0814641020249793,0.128606577840597,0.0584180151571956
11,0.0607210238258744,0.10411403392899,0.0400207957946202
12,0.0483826134296732,0.0891579478054168,0.0300526036278176
13,0.0469656693273799,0.0863441976637227,0.0290470245510652
14,0.0628522665742305,0.0962088008295082,0.0408001123541212
15,0.0641362369756936,0.0952487094614218,0.0395535300144398
16,0.0526300244824747,0.0818796363323704,0.0315035783668699
17,0.0455262632767461,0.0747721585874446,0.0241015564054756
18,0.0349645011989519,0.0630564102903751,0.0159108992004978
19,0.0250462762221482,0.051596190725242,0.00430192466496642
20,-0.00472565165738209,0.020945609711424,-0.0251923575032922
21,-0.0517456731565201,-0.0236484690558092,-0.0456351312897128
22,-0.0926097337892961,-0.0677732398083764,-0.0661253007045424
23,-0.119460685168755,-0.110562902658944,-0.0821821564009668
24,-0.124231077244741,-0.130374271362153,-0.0795628262201649
25,-0.131935542343061,-0.148356015607321,-0.0894043445047583
26,-0.127027589985701,-0.150584554743376,-0.08246216194174
27,-0.109383054254195,-0.136053153745354,-0.0682532810613418
28,-0.0640052243466424,-0.0921551305360021,-0.0333743309294174
29,0.131852728541701,0.103688822795216,0.11947021696848
30,0.292939596993633,0.309965675680448,0.199967884423755
31,0.375578765438097,0.453014826793096,0.258117147434021
32,0.376789410919293,0.481457953797705,0.30477884659465
33,0.322171794712999,0.427794299742098,0.283662841661002
34,0.266821009514629,0.366863782159116,0.225523237768465
35,0.20319682596665,0.287455420991418,0.1539885493333
36,0.172996488596949,0.248655853056118,0.113054699260336
37,0.160433646030595,0.2265555537703,0.102272963307784
38,0.154709085140562,0.213949566768938,0.114706908593703
39,0.150193272788104,0.208564918117653,0.111867051495519
40,0.131061845172825,0.183217500847491,0.0815512299482637
41,0.11286501646906,0.1650318961079,0.0680740879235333
42,0.0782023251954983,0.126457905778402,0.0472983324771941
43,0.0576859923593098,0.103690768419064,0.0270203416773742
44,0.0432248368644438,0.0855749110992818,0.00697389591786199
45,0.0271055231227846,0.0646109706945925,-0.0114711382163907
46,0.0171428670902092,0.0522265129219952,-0.0275741650317999
47,0.0300247418358931,0.0641913654374412,0.00157825644840014
48,0.0834838028299219,0.111382663026528,0.0496828904187853
49,0.127034547549398,0.150105685656964,0.0678806723985142
50,0.167759548982967,0.195936953769588,0.0981304160666186
51,0.218446314121537,0.258123913441048,0.164561014756031
52,0.202319332677655,0.255350176189818,0.17496202105139
53,0.190512535016757,0.249347448838775,0.159808238704899
54,0.169101246595122,0.22607948506869,0.135772087026982
55,0.147882411887367,0.203928253689535,0.11520225563335
56,0.149807676557265,0.200650812964917,0.104532381786641
57,0.120481683562063,0.16940354856582,0.0799746671790569
58,0.102500608697457,0.149410030840801,0.0601149131450845
59,0.0896748460686594,0.131367494508195,0.0504353904879563
60,0.0878396195032514,0.127209294718265,0.0476400708125627
61,0.0910162433128975,0.128574310605798,0.0635628669654195
62,0.11628137490669,0.150669223092548,0.118460183239115
63,0.134421526924221,0.168800358727666,0.13615828591322
64,0.123420180897995,0.159739947893752,0.134088720714081
65,0.1149592296346,0.152529450012687,0.102306830088257
66,0.101477731580579,0.13845700770099,0.100883583680196
67,0.0780184570196031,0.115045594706499,0.072708233303065
68,0.0555257964432512,0.0928699652875482,0.0474619962744894
69,0.0457215005047953,0.0852254402186278,0.0368097201883237
70,0.0417664421835425,0.0817136672366823,0.0170618973161228
71,0.0300907243872106,0.0660447106744688,-0.00474012584356653
72,0.0161922443002872,0.0526222570935367,-0.0154765499904914
73,0.0111001946392142,0.045914461093529,-0.0107929523911129
74,0.0149817517556053,0.0443181652061468,-0.00503713993315345
75,0.0209277067698351,0.0443290089215314,0.00866061483400123
76,0.0225112937458147,0.043923339491973,0.0200933315640022
77,0.0346591457409175,0.0579009539646252,0.043312790584154
78,0.0415303490558437,0.0622510440253829,0.0380590403963638
79,0.0545063496671316,0.0730070096097357,0.0361502990578726
80,0.0567887657598324,0.0710147757188276,0.0302032805600697
81,0.0474743715126306,0.0626790825246533,0.0270652767022558
82,0.0434236028226695,0.0615262784438982,0.0312788001660309
83,0.0374772968978902,0.0555751747217486,0.0230526444049155
84,0.0343158449968959,0.0542048307476775,0.0166444497532509
85,0.0378069220451947,0.0578196401567694,0.0170460513028762
86,0.0593074022079287,0.0777416807007493,0.0393805783294278
87,0.0833310026095779,0.103700209716792,0.0602127561522812
88,0.0917374668403421,0.107912705547197,0.0517622252880155
89,0.0669157778931244,0.0857839094796131,0.0301695304697485
90,0.0488919821247537,0.0696494032043658,0.0239224420348174
