"date","latitude","longitude","i_value","j_value","vertical_layer","temperature","layer_depth"
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,1,28.6247711181641,0.893023908138275
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,2,28.6271438598633,2.67907172441483
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,3,28.6032695770264,4.46511954069138
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,4,28.5506649017334,6.25116735696793
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,5,28.2746047973633,8.03721517324448
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,6,27.1357517242432,9.82326298952103
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,7,25.9864234924316,11.6093108057976
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,8,24.6627864837646,13.3953586220741
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,9,22.0435848236084,15.1814064383507
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,10,17.0850028991699,16.9674542546272
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,1,28.5751132965088,1.68658125400543
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,2,28.573751449585,5.0597437620163
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,3,27.7116756439209,8.43290627002716
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,4,25.0624694824219,11.806068778038
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,5,22.0495471954346,15.1792312860489
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,6,18.5246448516846,18.5523937940598
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,7,15.147632598877,21.9255563020706
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,8,12.2816905975342,25.2987188100815
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,9,9.60476589202881,28.6718813180923
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,10,7.55017614364624,32.0450438261032
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,1,28.5705947875977,1.76717758178711
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,2,28.5687637329102,5.30153274536133
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,3,27.4850463867188,8.83588790893555
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,4,24.5684680938721,12.3702430725098
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,5,21.3224258422852,15.904598236084
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,6,17.6388397216797,19.4389533996582
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,7,14.0860862731934,22.9733085632324
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,8,11.2994823455811,26.5076637268066
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,9,9.34829235076904,30.0420188903809
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,10,6.70050287246704,33.5763740539551
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,1,28.4540748596191,1.84104430675507
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,2,28.4558868408203,5.5231329202652
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,3,27.4942893981934,9.20522153377533
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,4,24.3397407531738,12.8873101472855
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,5,20.4491386413574,16.5693987607956
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,6,16.1238803863525,20.2514873743057
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,7,12.0733680725098,23.9335759878159
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,8,9.50922298431396,27.615664601326
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,9,8.0490140914917,31.2977532148361
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,10,6.57156467437744,34.9798418283463
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,1,28.1603717803955,3.43670511245728
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,2,23.7503395080566,10.3101153373718
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,3,19.1112442016602,17.1835255622864
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,4,12.9137544631958,24.0569357872009
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,5,7.65904188156128,30.9303460121155
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,6,5.06200838088989,37.80375623703
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,7,4.55594158172607,44.6771664619446
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,8,4.5301661491394,51.5505766868591
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,9,4.44000768661499,58.4239869117737
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,10,4.37493562698364,65.2973971366882
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,1,28.3155479431152,1.88146531581879
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,2,28.3192768096924,5.64439594745636
