"OBJECTID","FID_Ont1_glider_surf","Var1","latval","lonval","directval","speedval","Date","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
127,105,"31-May-2018 03:42:26",43.4074,-78.2424,336,0.04,"5/31/2018 3:42:26",5765,4496,"(133,69)",133,69,-47.9034,0,0,0,0,0.192,0.001,5.138563,NA,5.138563,0,NA,"133-69",4.8095,52.1755904545,10,48.095,"yes","Offshore zone",43.4061830847,-78.2362612026,1527738146,0.0210303566084479,349.858182926089
128,111,"31-May-2018 13:42:56",43.4081333333333,-78.1347666666667,326,0.06,"5/31/2018 13:42:56",6125,4502,"(139,69)",139,69,-56.5946,0,0,0,0,0.192,0.001,5.111807,NA,5.111807,0,NA,"139-69",5.6787,46.7302748195,10,56.787,"yes","Offshore zone",43.4067635927,-78.1370478375,1527774176,0.0140475478648799,356.778901770825
129,185,"06-Jun-2018 03:50:50",43.4093333333333,-77.3962166666667,353,0.01,"6/6/2018 3:50:50",9713,5834,"(183,76)",183,76,-200.998,0,0,0,0,0.192,0.001,4.594159,NA,4.594159,0,NA,"183-76",20.119,217.764233743,10,201.19,"yes"," ",43.4138063134,-77.3919585907,1528257050,0.0154137765247612,209.203911661284
130,127,"01-Jun-2018 21:46:10",43.4098333333333,-78.1337333333333,104,0.03,"6/1/2018 21:46:10",6126,4678,"(139,70)",139,70,-59.4127,0,0,0,0,0.192,0.001,5.06883,NA,5.06883,0,NA,"139-70",5.9605,46.7742902338,10,59.605,"yes","Offshore zone",43.4099056725,-78.1369900082,1527889570,0.0318078057725327,357.981277602186
131,161,"04-Jun-2018 09:36:40",43.4101,-77.8542,122,0.01,"6/4/2018 9:36:40",7180,5235,"(156,73)",156,73,-81.4444,0,0,0,0,0.192,0.001,4.825178,NA,4.825178,0,NA,"156-73",8.1636,201.570894944,10,81.636,"yes","Offshore zone",43.4114405776,-77.8551137969,1528105000,0.0332182027401719,4.09151962155095
132,31,"26-May-2018 00:53:46",43.4177833333333,-78.8375333333333,33,0.04,"5/26/2018 0:53:46",3187,5939,"(90,77)",90,77,-115.204,0,0,0,0,0.192,0.001,4.672224,NA,4.672224,0,NA,"90-77",11.5396,155.669487356,10,115.396,"yes"," ",43.4152460724,-78.8434265549,1527296026,0.00456705758708065,331.5383389439
133,143,"02-Jun-2018 23:40:57",43.4192166666667,-77.8569166666667,328,0.02,"6/2/2018 23:40:57",7181,5422,"(156,74)",156,74,-110.006,0,0,0,0,0.192,0.001,4.793654,NA,4.793654,0,NA,"156-74",11.0198,202.440340145,10,110.198,"yes","Offshore zone",43.424881308,-77.8535362904,1527982857,0.00833261992341342,1.12605704638782
134,43,"26-May-2018 20:56:35",43.4195666666667,-78.8230333333333,269,0.02,"5/26/2018 20:56:35",3248,5940,"(91,77)",91,77,-117.947,0,0,0,0,0.192,0.001,4.675135,NA,4.675135,0,NA,"91-77",11.8139,155.514630542,10,118.139,"yes"," ",43.4184958091,-78.8297645762,1527368195,0.00457118265072076,204.670922842505
135,87,"29-May-2018 23:35:28",43.4207166666667,-78.5056666666667,124,0.03,"5/29/2018 23:35:28",4626,5193,"(114,73)",114,73,-98.327,0,0,0,0,0.192,0.001,4.729319,NA,4.729319,0,NA,"114-73",9.8519,131.20971371,10,98.519,"yes","Offshore zone",43.4251888071,-78.5095508588,1527636928,0.0214111185354085,3.63582124388041
136,231,"12-Jun-2018 08:50:47",43.4215666666667,-78.7510333333333,102,0.06,"6/12/2018 8:50:47",3549,5747,"(96,76)",96,76,-120.446,0,0,0,0,0.192,0.001,4.70085,NA,4.70085,0,NA,"96-76",12.0638,150.170587669,10,120.638,"yes","Offshore zone",43.4220424191,-78.7569635896,1528793447,0.00940954916192233,350.637313590907
137,73,"28-May-2018 21:35:06",43.4237833333333,-78.5030666666667,59,0.04,"5/28/2018 21:35:06",4626,5193,"(114,73)",114,73,-98.327,0,0,0,0,0.192,0.001,4.729319,NA,4.729319,0,NA,"114-73",9.8519,131.20971371,10,98.519,"yes","Offshore zone",43.4251888071,-78.5095508588,1527543306,0.0226083245073621,0.0986367504867897
138,186,"06-Jun-2018 05:42:46",43.4270166666667,-77.39305,273,0.02,"6/6/2018 5:42:46",9714,6032,"(183,77)",183,77,-204.827,0,0,0,0,0.192,0.001,4.757083,NA,4.757083,0,NA,"183-77",20.5019,215.074520025,10,205.019,"yes"," ",43.4277701791,-77.3907926888,1528263766,0.0170749652875121,213.73399952969
139,160,"04-Jun-2018 07:38:48",43.4292333333333,-77.8442833333333,121,0.01,"6/4/2018 7:38:48",7246,5423,"(157,74)",157,74,-108.047,0,0,0,0,0.192,0.001,4.796808,NA,4.796808,0,NA,"157-74",10.8239,203.248189858,10,108.239,"yes","Offshore zone",43.4231668169,-77.8370174818,1528097928,0.0224445922716841,11.5668751060844
140,112,"31-May-2018 15:46:50",43.4298333333333,-78.1358666666667,303,0.05,"5/31/2018 15:46:50",6129,5218,"(139,73)",139,73,-82.9055,0,0,0,0,0.192,0.001,4.800182,NA,4.800182,0,NA,"139-73",8.3098,190.931317047,10,83.098,"yes","Offshore zone",43.4304208144,-78.1365641902,1527781610,0.0164249752663994,7.81593170012332
141,126,"01-Jun-2018 19:44:46",43.4301833333333,-78.1333666666667,102,0.04,"6/1/2018 19:44:46",6129,5218,"(139,73)",139,73,-82.9055,0,0,0,0,0.192,0.001,4.800182,NA,4.800182,0,NA,"139-73",8.3098,190.931317047,10,83.098,"yes","Offshore zone",43.4304208144,-78.1365641902,1527882286,0.0178661716678437,355.293295148421
142,86,"29-May-2018 21:35:46",43.4322666666667,-78.5052333333333,118,0.03,"5/29/2018 21:35:46",4627,5380,"(114,74)",114,74,-124.458,0,0,0,0,0.192,0.001,4.686596,NA,4.686596,0,NA,"114-74",12.465,133.704634122,10,124.65,"yes","Offshore zone",43.4365389481,-78.5115816341,1527629746,0.0132590492899746,4.11247508563278
143,32,"26-May-2018 02:50:40",43.4366333333333,-78.8421166666667,16,0.03,"5/26/2018 2:50:40",3250,6343,"(91,79)",91,79,-127.269,0,0,0,0,0.192,0.001,4.660006,NA,4.660006,0,NA,"91-79",12.7461,157.197329746,10,127.461,"yes"," ",43.4414511848,-78.8396357829,1527303040,0.0148012944687161,163.811913163292
144,33,"26-May-2018 02:50:41",43.4366333333333,-78.8421166666667,16,0.03,"5/26/2018 2:50:41",3250,6343,"(91,79)",91,79,-127.269,0,0,0,0,0.192,0.001,4.660006,NA,4.660006,0,NA,"91-79",12.7461,157.197329746,10,127.461,"yes"," ",43.4414511848,-78.8396357829,1527303041,0.0148012944687161,163.811913163292
145,144,"03-Jun-2018 01:34:55",43.4369666666667,-77.8476,282,0,"6/3/2018 1:34:55",7182,5614,"(156,75)",156,75,-124.095,0,0,0,0,0.192,0.001,4.723904,NA,4.723904,0,NA,"156-75",12.4287,203.309785347,10,124.287,"yes","Offshore zone",43.4383219679,-77.8519579133,1527989695,0.0053809565312951,15.2444620665576
146,42,"26-May-2018 18:52:05",43.4407,-78.8306833333333,283,0.04,"5/26/2018 18:52:05",3311,6344,"(92,79)",92,79,-129.18,0,0,0,0,0.192,0.001,4.663269,NA,4.663269,0,NA,"92-79",12.9372,157.042472932,10,129.372,"yes"," ",43.4447126126,-78.8258099362,1527360725,0.0217646370039542,167.278256158207
147,12,"24-May-2018 09:44:36",43.44125,-79.1819166666667,92,0.1,"5/24/2018 9:44:36",1825,7638,"(67,85)",67,85,-127.13,0,0,0,0,0.192,0.001,4.777946,NA,4.777946,0,NA,"67-85",12.7322,149.829641962,10,127.322,"no"," ",43.437403252,-79.1783644186,1527155076,0.00898942882879347,262.866431040976
148,13,"24-May-2018 09:44:36",43.44125,-79.1819166666667,92,0.1,"5/24/2018 9:44:36",1825,7638,"(67,85)",67,85,-127.13,0,0,0,0,0.192,0.001,4.777946,NA,4.777946,0,NA,"67-85",12.7322,149.829641962,10,127.322,"no"," ",43.437403252,-79.1783644186,1527155076,0.00898942882879347,262.866431040976
149,74,"28-May-2018 23:33:07",43.4434666666667,-78.5086833333333,66,0.04,"5/28/2018 23:33:07",4628,5572,"(114,75)",114,75,-135.492,0,0,0,0,0.192,0.001,4.625218,NA,4.625218,0,NA,"114-75",13.5684,136.199554533,10,135.684,"yes","Offshore zone",43.4478890628,-78.5136130759,1527550387,0.00692508354287736,351.656391250047
150,187,"06-Jun-2018 07:44:57",43.4465333333333,-77.3888166666667,278,0.03,"6/6/2018 7:44:57",9715,6232,"(183,78)",183,78,-202.816,0,0,0,0,0.192,0.001,4.559222,NA,4.559222,0,NA,"183-78",20.3008,213.839258347,10,203.008,"yes"," ",43.4416853708,-77.3895967463,1528271097,0.0192135424652674,215.157771659948
151,14,"24-May-2018 10:50:01",43.4473166666667,-79.1776666666667,80,0.04,"5/24/2018 10:50:01",1826,7869,"(67,86)",67,86,-129.055,0,0,0,0,0.192,0.001,4.809538,NA,4.809538,0,NA,"67-86",12.9247,150.355385048,10,129.247,"no"," ",43.4485779592,-79.1845906158,1527159001,0.00933872986244541,234.812944432204
152,159,"04-Jun-2018 05:45:57",43.4477666666667,-77.83605,85,0.01,"6/4/2018 5:45:57",7248,5808,"(157,76)",157,76,-131.459,0,0,0,0,0.192,0.001,4.709876,NA,4.709876,0,NA,"157-76",13.1651,204.808657171,10,131.651,"yes","Offshore zone",43.4501554092,-77.8337036539,1528091157,0.010515764782072,30.1748118399422
153,125,"01-Jun-2018 17:51:30",43.44925,-78.1343833333333,118,0.04,"6/1/2018 17:51:30",6130,5405,"(139,74)",139,74,-99.0104,0,0,0,0,0.192,0.001,4.809364,NA,4.809364,0,NA,"139-74",9.9202,191.695728952,10,99.202,"yes","Offshore zone",43.4431658228,-78.1363275805,1527875490,0.0151482492217228,356.581809416697
154,113,"31-May-2018 17:42:51",43.4501166666667,-78.1347,304,0.04,"5/31/2018 17:42:51",6131,5597,"(139,75)",139,75,-117.624,0,0,0,0,0.192,0.001,4.721149,NA,4.721149,0,NA,"139-75",11.7816,192.460140858,10,117.816,"yes","Offshore zone",43.4559108031,-78.1360907302,1527788571,0.0191579174856654,4.56541075951927
155,85,"29-May-2018 19:42:25",43.4502,-78.5061166666667,117,0.03,"5/29/2018 19:42:25",4688,5573,"(115,75)",115,75,-136.67,0,0,0,0,0.192,0.001,4.643813,NA,4.643813,0,NA,"115-75",13.6862,136.640637401,10,136.862,"yes","Offshore zone",43.4488567732,-78.500445686,1527622945,0.00913984833406825,1.99804433461501
156,34,"26-May-2018 04:44:45",43.4529,-78.8451666666667,357,0.02,"5/26/2018 4:44:45",3251,6550,"(91,80)",91,80,-133.344,0,0,0,0,0.192,0.001,4.72716,NA,4.72716,0,NA,"91-80",13.3536,158.038679348,10,133.536,"yes"," ",43.4529285801,-78.844574071,1527309885,0.0223144743065539,162.955817713413
