"interval_number","vel1","vel2","vel3"
1,0.0172773846988316,0.0196472141691287,0.0206786688631004
2,0.0541988469707075,0.0554760394832477,0.0351680944713105
3,0.0976794440806698,0.100197277059763,0.0443742577881537
4,0.197145485716319,0.208054518559318,0.0876048707167472
5,0.326555479349442,0.375338710491017,0.189430936552372
6,0.337060351974533,0.4227064988036,0.206847937589909
7,0.280484133549722,0.373338394324128,0.187186027036153
8,0.236173668422275,0.319493994124645,0.147396614735768
9,0.234623332197568,0.31080101168756,0.150743115254021
10,0.230228099456609,0.303723578343089,0.134691350490407
11,0.229916232501445,0.301342132172717,0.156330881486639
12,0.263046452794068,0.334540189562506,0.162943061353913
13,0.310120352992975,0.390119622494056,0.183311071369547
14,0.280838149325524,0.369903089058173,0.1914714392932
15,0.239372620107954,0.323877136226638,0.16517375443111
16,0.214378992763752,0.292294480968495,0.148435539300916
17,0.186714609902954,0.257683754109781,0.119240432822286
18,0.19123203314684,0.255809142864014,0.114331433653972
19,0.220853243788703,0.283556331884829,0.1375925971627
20,0.235626764353638,0.30139242794505,0.152438900296962
21,0.203269544492832,0.272775548603254,0.132314625850503
22,0.147561838756335,0.214094162335762,0.0966022211931281
23,0.121211389083996,0.176510144806045,0.0751683105116106
24,0.119117883565403,0.166340661459429,0.0687665642425601
25,0.126029180546534,0.172854917558826,0.0569782440872904
26,0.110623310268978,0.157875026366077,0.0422402782268124
27,0.0924990501667829,0.134939718591804,0.0146795901363691
28,0.0819296153847575,0.12065611957755,0.0195342850377556
29,0.0824602206184084,0.114607708714286,0.0286823138695231
30,0.0903759916194123,0.115521720474678,0.0432808669393201
31,0.114744274635224,0.142325078640241,0.0762529999879795
32,0.129516347277483,0.16217841109865,0.117063908903702
33,0.143092677417417,0.180608730242053,0.160985621664851
34,0.149240049223338,0.192138113873179,0.162851281965657
35,0.128379338814929,0.17568315252808,0.144476218883977
36,0.0898311257608001,0.136906410335531,0.0907722145305921
37,0.0552489106925109,0.0973057647971588,0.0407129020704975
38,0.0271519171503171,0.063506454260707,-0.00275069735693604
39,-0.0145080121499526,0.0178667713696589,-0.0632393069069433
40,-0.0940634066574687,-0.0643086979010601,-0.142579241038084
41,-0.119885093077199,-0.112174355555041,-0.12636973387294
42,-0.105229799529283,-0.11464858865689,-0.0834299545741523
43,-0.0769306041194517,-0.0949993838291457,-0.0285420466153061
44,-0.0393795877395441,-0.0619265811046939,0.0236013284489932
45,0.058592401113876,0.037034557207428,0.0650264644106945
46,0.205042407333504,0.20050257737821,0.152119386555303
47,0.202291998627312,0.23098391905941,0.1339822383444
48,0.150204833435206,0.196202662019198,0.10592412962567
49,0.108490371128381,0.154603895882314,0.0709069260930606
50,0.0743064405090969,0.113975129031699,0.042221417378282
51,0.0365993978358557,0.0726206172025776,0.0193631248707728
52,-0.0363887549547451,-0.000449402930694545,-0.0394844563895949
53,-0.117271721061641,-0.0907607706035093,-0.104672214950679
54,-0.128246731288161,-0.12960010767708,-0.103312901175945
55,-0.0816249280121436,-0.0955153594945062,-0.0543809006241376
56,0.00110885493523557,-0.0167882585073677,0.0328761583168092
57,0.0556173667753902,0.0298558847033068,0.0791228781207523
58,0.0588620380931557,0.0400523715228439,0.0600624845651904
59,0.0511934338194942,0.0379037700671211,0.0313989072917223
60,0.0269326745355896,0.0173091531921356,0.0077233614946572
61,0.00310457137186106,0.00263234220347838,-0.00908680557999117
62,-0.00919966005633066,-0.00349725435158757,-0.0255262741754159
63,-0.0178738637641835,-0.013045408939485,-0.0314521040099901
64,-0.0402572493099081,-0.0374092633668781,-0.0324709235669086
65,-0.0720802948877863,-0.0707759154543109,-0.0474472344834675
66,-0.105528769551345,-0.108893614534162,-0.064484887524504
67,-0.0909667739954055,-0.107753357627068,-0.05682181417336
68,-0.0738995808638351,-0.0957780842947241,-0.0368985235900782
69,-0.0730104620455474,-0.0974439932651374,-0.0304735945391041
70,-0.13992385006005,-0.165846189178811,-0.100961082022325
71,-0.188761825244923,-0.229032900068455,-0.17644811372439
72,-0.20685248589965,-0.259653495125804,-0.212907549347973
73,-0.217251217305927,-0.278130746663468,-0.216722435960538
74,-0.232335523083853,-0.29934730262353,-0.229682026399817
75,-0.28092194510542,-0.357969917619806,-0.269870985740711
76,-0.29935301518661,-0.38998227408706,-0.294272369222693
77,-0.258508345339484,-0.348702554795939,-0.294892093057941
78,-0.223385028448421,-0.30675236304292,-0.227941675760125
79,-0.133989737766823,-0.206361230263535,-0.116973174969053
80,-0.0285582910962957,-0.0841781310706911,0.0243347268385396
81,0.0502197105288969,0.0034679939758786,0.091372586880956
82,0.107321814165337,0.0756173388081573,0.110846550082322
83,0.118421284597855,0.112333560757341,0.107993151610213
84,0.120684725138728,0.131122366122457,0.103999722305534
85,0.156995029002114,0.175155089003916,0.139578516179142
86,0.183656324681756,0.214857526146023,0.157381604862575
