"﻿FID_n2018L","Var1","currlats","currlons","directval","speedval","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
0,"27-Jul-2018 19:29:06",43.33555,-78.9013166667,94,0.04,2751,4622,"(83,70)",83,70,-42.75,0,0,0,0,0.192,0.001,6.795772,NA,6.795772,0,NA,"83-70",4.2942,31.3741700267,10,42.942,"yes","",43.3367834144,-78.8955537483,1532719746,0.1063687715366,352.932174353254
37,"30-Jul-2018 06:57:03",43.3359166667,-78.8983666667,274,0.07,2751,4622,"(83,70)",83,70,-42.75,0,0,0,0,0.192,0.001,6.795772,NA,6.795772,0,NA,"83-70",4.2942,31.3741700267,10,42.942,"yes","",43.3367834144,-78.8955537483,1532933823,0.099475455346263,353.869609481417
180,"10-Aug-2018 07:34:52",43.3367,-77.4417,234,0.04,9504,3673,"(181,64)",181,64,-108.854,0,0,0,0,0.192,0.001,4.899779,NA,4.899779,0,NA,"181-64",10.9046,22.2033496785,10,109.046,"yes","",43.3365082517,-77.4338497435,1533886492,0.0182960626042779,58.9282912553858
184,"10-Aug-2018 13:35:40",43.3373,-77.3753333333,5,0.01,9804,4196,"(184,67)",184,67,-87.63,0,0,0,0,0.192,0.001,4.838534,NA,4.838534,0,NA,"184-67",8.7822,56.0161701248,10,87.822,"no","",43.337159333,-77.3803944105,1533908140,0.0307099889972977,170.377530374996
230,"14-Aug-2018 04:13:03",43.3381,-77.6405333333,327,0.07,8207,1973,"(169,54)",169,54,-32.0814,0,0,0,0,0.192,0.001,5.345382,NA,5.345382,0,NA,"169-54",3.2273,22.7871000643,10,32.273,"yes","",43.3394066994,-77.6490836523,1534219983,0.0298836183179344,129.741599162891
185,"10-Aug-2018 15:34:52",43.34015,-77.34935,21,0.01,9998,4549,"(186,69)",186,69,-94.214,0,0,0,0,0.192,0.001,4.795055,NA,4.795055,0,NA,"186-69",9.4406,56.8803257136,10,94.406,"no","",43.3412575671,-77.3443937907,1533915292,0.0366947526804183,181.261074365235
38,"30-Jul-2018 08:55:48",43.34035,-78.8802333333,285,0.07,2812,4623,"(84,70)",84,70,-46.4274,0,0,0,0,0.192,0.001,6.878969,NA,6.878969,0,NA,"84-70",4.6619,31.2091339685,10,46.619,"yes","",43.3394784256,-78.8839770255,1532940948,0.101451299710564,356.001471016995
26,"29-Jul-2018 12:37:59",43.34085,-79.10105,114,0.03,1873,5719,"(68,76)",68,76,-83.3266,0,0,0,0,0.192,0.001,5.444892,NA,5.444892,0,NA,"68-76",8.3519,136.931000189,10,83.519,"yes","",43.3432815704,-79.1094655679,1532867879,0.0213504392823292,344.317264996354
186,"10-Aug-2018 15:55:03",43.3411333333,-77.3502666667,26,0.01,9998,4549,"(186,69)",186,69,-94.214,0,0,0,0,0.192,0.001,4.795055,NA,4.795055,0,NA,"186-69",9.4406,56.8803257136,10,94.406,"no","",43.3412575671,-77.3443937907,1533916503,0.0366947526804183,181.261074365235
39,"30-Jul-2018 10:56:58",43.3444,-78.8614333333,288,0.08,2936,4625,"(86,70)",86,70,-46.6239,0,0,0,0,0.192,0.001,6.871758,NA,6.871758,0,NA,"86-70",4.6816,27.2768473961,10,46.816,"yes","",43.3442044959,-78.8627242094,1532948218,0.0980468805492005,359.779090705813
229,"14-Aug-2018 02:12:57",43.3449666667,-77.6545166667,334,0.09,8211,2638,"(169,58)",169,58,-38.1429,0,0,0,0,0.192,0.001,5.245958,NA,5.245958,0,NA,"169-58",3.8335,20.5294182268,10,38.335,"yes","",43.3449251457,-77.648107909,1534212777,0.0266149014688025,125.276915618626
8,"28-Jul-2018 00:34:08",43.3450333333,-78.9186333333,65,0.07,2692,4977,"(82,72)",82,72,-56.5,0,0,0,0,0.192,0.001,5.425422,NA,5.425422,0,NA,"82-72",5.6692,63.0835910765,10,56.692,"yes","",43.3433315433,-78.9128862218,1532738048,0.0952455367155921,351.723439129208
40,"30-Jul-2018 12:55:59",43.3469166667,-78.8427166667,280,0.07,3057,4451,"(88,69)",88,69,-39.1028,0,0,0,0,0.192,0.001,6.231915,NA,6.231915,0,NA,"88-69",3.9295,26.6965083173,10,39.295,"yes","",43.3460653837,-78.8408800192,1532955359,0.0993176722085276,1.74232235536294
217,"13-Aug-2018 04:16:32",43.3471166667,-77.4946666667,15,0.05,9091,4189,"(177,67)",177,67,-97.0239,0,0,0,0,0.192,0.001,4.796697,NA,4.796697,0,NA,"177-67",9.7216,53.6611405164,10,97.216,"yes","",43.3474040073,-77.5028406795,1534133792,0.0359801096356831,313.027824077569
41,"30-Jul-2018 14:56:24",43.3506166667,-78.8257,285,0.09,3119,4628,"(89,70)",89,70,-47.5862,0,0,0,0,0.192,0.001,6.212852,NA,6.212852,0,NA,"89-70",4.7778,35.9351565664,10,47.778,"yes","",43.3511989918,-78.8300211841,1532962584,0.0889514529628445,0.301432511112126
228,"14-Aug-2018 00:13:32",43.3508333333,-77.66715,348,0.08,8108,3146,"(168,61)",168,61,-38.7436,0,0,0,0,0.192,0.001,5.235997,NA,5.235997,0,NA,"168-61",3.8936,19.6845288208,10,38.936,"yes","",43.3501247242,-77.6644906166,1534205612,0.0160090587050364,108.044960537905
212,"12-Aug-2018 20:09:47",43.3517166667,-77.4414,143,0.03,9408,4719,"(180,70)",180,70,-141.223,0,0,0,0,0.192,0.001,4.732969,NA,4.732969,0,NA,"180-70",14.1415,54.3713217977,10,141.415,"yes","",43.3534615244,-77.449872436,1534104587,0.0347162515638285,90.1889056327601
227,"13-Aug-2018 23:04:38",43.35315,-77.6754666667,338,0.05,8007,3487,"(167,63)",167,63,-39.6988,0,0,0,0,0.192,0.001,5.293731,NA,5.293731,0,NA,"167-63",3.9891,20.0311229318,10,39.891,"yes","",43.354196708,-77.6806343213,1534201478,0.0102235245021933,115.469621296966
187,"10-Aug-2018 18:11:02",43.3534833333,-77.3253833333,16,0.01,10092,5082,"(187,72)",187,72,-128.899,0,0,0,0,0.192,0.001,4.657127,NA,4.657127,0,NA,"187-72",12.9091,112.438751205,10,129.091,"no","",43.3558021972,-77.3261828898,1533924662,0.0270708901719342,187.126789742124
9,"28-Jul-2018 02:39:53",43.3542166667,-78.9369666667,74,0.09,2634,5347,"(81,74)",81,74,-81.1279,0,0,0,0,0.192,0.001,4.991827,NA,4.991827,0,NA,"81-74",8.132,130.309260182,10,81.32,"yes","",43.3597472256,-78.9353193831,1532745593,0.0381221927323596,344.752131332946
43,"30-Jul-2018 18:56:42",43.35465,-78.8098666667,294,0.1,3180,4629,"(90,70)",90,70,-48.3767,0,0,0,0,0.192,0.001,6.012867,NA,6.012867,0,NA,"90-70",4.8569,36.3058804439,10,48.569,"yes","",43.3539394032,-78.8162076735,1532977002,0.0841643673561994,1.39629752576241
42,"30-Jul-2018 16:54:54",43.3547833333,-78.8094333333,294,0.1,3180,4629,"(90,70)",90,70,-48.3767,0,0,0,0,0.192,0.001,6.012867,NA,6.012867,0,NA,"90-70",4.8569,36.3058804439,10,48.569,"yes","",43.3539394032,-78.8162076735,1532969694,0.0871573829976459,0.847799298192739
218,"13-Aug-2018 06:17:12",43.35555,-77.518,41,0.02,8986,4539,"(176,69)",176,69,-83.6456,0,0,0,0,0.192,0.001,4.763421,NA,4.763421,0,NA,"176-69",8.3838,55.8147639955,10,83.838,"yes","",43.3555908519,-77.5200750537,1534141032,0.0336961058836268,281.479826355227
179,"10-Aug-2018 05:40:53",43.35725,-77.4384666667,183,0.03,9511,4897,"(181,71)",181,71,-159.555,0,0,0,0,0.192,0.001,4.651954,NA,4.651954,0,NA,"181-71",15.9747,110.059983909,10,159.747,"yes","",43.3572063724,-77.4318851794,1533879653,0.0315821625340479,132.156172830964
226,"13-Aug-2018 22:13:19",43.358,-77.6747,326,0.06,8010,4005,"(167,66)",167,66,-48.3875,0,0,0,0,0.192,0.001,5.171008,NA,5.171008,0,NA,"167-66",4.858,20.0269131647,10,48.58,"yes","",43.3581502356,-77.6799382111,1534198399,0.016001471273725,160.94718253516
44,"30-Jul-2018 20:58:33",43.3597666667,-78.7872833333,289,0.14,3302,4631,"(92,70)",92,70,-50.3893,0,0,0,0,0.192,0.001,5.973688,NA,5.973688,0,NA,"92-70",5.0581,37.0473281993,10,50.581,"yes","",43.359415134,-78.788577102,1532984313,0.0832075453295836,0.769977996379284
45,"30-Jul-2018 20:58:34",43.3597666667,-78.7872833333,289,0.14,3302,4631,"(92,70)",92,70,-50.3893,0,0,0,0,0.192,0.001,5.973688,NA,5.973688,0,NA,"92-70",5.0581,37.0473281993,10,50.581,"yes","",43.359415134,-78.788577102,1532984314,0.0832075453295836,0.769977996379284
188,"10-Aug-2018 19:26:24",43.3606,-77.3133666667,346,0.01,10185,5267,"(188,73)",188,73,-154.754,0,0,0,0,0.192,0.001,4.607165,NA,4.607165,0,NA,"188-73",15.4946,225.089763493,10,154.946,"no","",43.3651693627,-77.3083207239,1533929184,0.0178577832244795,198.940472648027
46,"30-Jul-2018 22:57:45",43.3614666667,-78.7772333333,291,0.14,3363,4632,"(93,70)",93,70,-48.0839,0,0,0,0,0.192,0.001,5.93237,NA,5.93237,0,NA,"93-70",4.8276,35.6778261794,10,48.276,"yes","",43.3619805426,-78.7750509578,1532991465,0.0776038294989649,1.36762365586791
10,"28-Jul-2018 04:36:27",43.36245,-78.9527833333,78,0.1,2575,5538,"(80,75)",80,75,-89.4317,0,0,0,0,0.192,0.001,4.99095,NA,4.99095,0,NA,"80-75",8.9624,136.917164789,10,89.624,"yes","",43.3679713764,-78.9535203454,1532752587,0.0356298016207342,348.115630821224
47,"31-Jul-2018 00:56:50",43.3634833333,-78.7695833333,293,0.12,3363,4632,"(93,70)",93,70,-48.0839,0,0,0,0,0.192,0.001,5.93237,NA,5.93237,0,NA,"93-70",4.8276,35.6778261794,10,48.276,"yes","",43.3619805426,-78.7750509578,1532998610,0.074619056259845,1.64501782939555
48,"31-Jul-2018 02:57:23",43.3636666667,-78.7555333333,284,0.12,3423,4457,"(94,69)",94,69,-40.1301,0,0,0,0,0.192,0.001,6.024657,NA,6.024657,0,NA,"94-69",4.0322,36.1840685477,10,40.322,"yes","",43.3615460882,-78.7605759132,1533005843,0.0752804577347456,359.658763830575
50,"31-Jul-2018 06:58:24",43.36435,-78.7318666667,271,0.11,3541,4283,"(96,68)",96,68,-35.4257,0,0,0,0,0.192,0.001,6.073179,NA,6.073179,0,NA,"96-68",3.5618,37.326441026,10,35.618,"yes","EighteenMile Zone",43.3632633912,-78.7329809888,1533020304,0.0654893188940369,358.105143609329
49,"31-Jul-2018 04:55:14",43.3646666667,-78.7413,282,0.13,3483,4458,"(95,69)",95,69,-41.0068,0,0,0,0,0.192,0.001,6.027318,NA,6.027318,0,NA,"95-69",4.1199,36.8201986575,10,41.199,"yes","",43.363875326,-78.7473801247,1533012914,0.0697197450299669,359.019327165256
219,"13-Aug-2018 08:16:19",43.3652833333,-77.5403333333,24,0.03,8876,4891,"(175,71)",175,71,-87.2161,0,0,0,0,0.192,0.001,4.777386,NA,4.777386,0,NA,"175-71",8.7408,109.766044482,10,87.408,"yes","",43.3653704872,-77.5372039127,1534148179,0.0104122625380397,222.342986560996
51,"31-Jul-2018 07:16:41",43.3654,-78.7326,231,0.07,3542,4459,"(96,69)",96,69,-41.6779,0,0,0,0,0.192,0.001,5.922224,NA,5.922224,0,NA,"96-69",4.187,37.4563287673,10,41.87,"yes","",43.3662030186,-78.7341833747,1533021401,0.0658512031239444,357.948643597141
189,"10-Aug-2018 20:13:03",43.3678333333,-77.3153833333,108,0.04,10185,5267,"(188,73)",188,73,-154.754,0,0,0,0,0.192,0.001,4.607165,NA,4.607165,0,NA,"188-73",15.4946,225.089763493,10,154.946,"no","",43.3651693627,-77.3083207239,1533931983,0.0178577832244795,198.940472648027
11,"28-Jul-2018 06:40:04",43.3719,-78.9685666667,72,0.12,2516,5730,"(79,76)",79,76,-94.3697,0,0,0,0,0.192,0.001,4.840102,NA,4.840102,0,NA,"79-76",9.4562,137.079724575,10,94.562,"yes","",43.3761018407,-78.9720195251,1532760004,0.0321673031360485,347.294367351499
225,"13-Aug-2018 20:13:27",43.3722833333,-77.65995,312,0.04,8118,4884,"(168,71)",168,71,-71.5496,0,0,0,0,0.192,0.001,4.928354,NA,4.928354,0,NA,"168-71",7.1742,98.2963510892,10,71.742,"yes","",43.3734329858,-77.6604004145,1534191207,0.0230583881615794,125.88253886033
211,"12-Aug-2018 18:11:50",43.37275,-77.44105,155,0.03,9411,5259,"(180,73)",180,73,-161.907,0,0,0,0,0.192,0.001,4.606318,NA,4.606318,0,NA,"180-73",16.2099,220.189902991,10,162.099,"yes","",43.3758625808,-77.4476960164,1534097510,0.059330122378331,124.811526556241
220,"13-Aug-2018 10:17:14",43.3745,-77.5642,29,0.03,8655,5068,"(173,72)",173,72,-105.947,0,0,0,0,0.192,0.001,4.802759,NA,4.802759,0,NA,"173-72",10.6139,107.888065348,10,106.139,"yes","",43.3746290193,-77.5717392864,1534155434,0.0148694220285215,131.423043860766
25,"29-Jul-2018 08:43:48",43.3746166667,-79.1270166667,134,0.03,1876,6320,"(68,79)",68,79,-103.396,0,0,0,0,0.192,0.001,4.846732,NA,4.846732,0,NA,"68-79",10.3588,141.74417148,10,103.588,"yes","",43.3754123416,-79.1281680732,1532853828,0.0119088394153288,314.946311104406
178,"10-Aug-2018 03:46:38",43.3774833333,-77.4388666667,164,0.03,9411,5259,"(180,73)",180,73,-161.907,0,0,0,0,0.192,0.001,4.606318,NA,4.606318,0,NA,"180-73",16.2099,220.189902991,10,162.099,"yes","",43.3758625808,-77.4476960164,1533872798,0.0395036674745463,128.292800476922
12,"28-Jul-2018 08:37:29",43.37905,-78.9853333333,73,0.09,2456,5729,"(78,76)",78,76,-92.9081,0,0,0,0,0.192,0.001,4.883862,NA,4.883862,0,NA,"78-76",9.31,137.127513716,10,93.1,"yes","",43.3732879932,-78.9843410739,1532767049,0.0348514320196738,346.582035319542
52,"31-Jul-2018 08:58:39",43.37945,-78.7382333333,263,0.06,3545,4991,"(96,72)",96,72,-70.7895,0,0,0,0,0.192,0.001,5.10002,NA,5.10002,0,NA,"96-72",7.0981,76.0816472056,10,70.981,"yes","",43.3794337325,-78.7395965625,1533027519,0.0473958768796463,356.101480935085
68,"01-Aug-2018 15:02:59",43.3835333333,-78.7346333333,208,0.02,3545,4991,"(96,72)",96,72,-70.7895,0,0,0,0,0.192,0.001,5.10002,NA,5.10002,0,NA,"96-72",7.0981,76.0816472056,10,70.981,"yes","",43.3794337325,-78.7395965625,1533135779,0.0314926307476629,350.289117063954
13,"28-Jul-2018 10:39:03",43.3866833333,-79.0049666667,75,0.07,2397,5926,"(77,77)",77,77,-98.6372,0,0,0,0,0.192,0.001,4.811135,NA,4.811135,0,NA,"77-77",9.8829,138.638659832,10,98.829,"yes","",43.3814974341,-79.0027761571,1532774343,0.0315312761076167,351.992171833298
224,"13-Aug-2018 18:17:22",43.3871666667,-77.64645,314,0.04,8226,5248,"(169,73)",169,73,-105.12,0,0,0,0,0.192,0.001,4.796034,NA,4.796034,0,NA,"169-73",10.5312,228.823151303,10,105.312,"yes","",43.388846085,-77.6403722922,1534184242,0.00821414110216695,341.364936121847
69,"01-Aug-2018 17:25:44",43.3890333333,-78.7089333333,316,0.03,3667,5177,"(98,73)",98,73,-85.3275,0,0,0,0,0.192,0.001,4.941265,NA,4.941265,0,NA,"98-73",8.5519,143.030565754,10,85.519,"yes","",43.3932796402,-78.7169957953,1533144344,0.0145333508416062,27.9371306859571
190,"10-Aug-2018 22:20:43",43.3890333333,-77.32315,75,0.06,10095,5645,"(187,75)",187,75,-199.769,0,0,0,0,0.192,0.001,4.519137,NA,4.519137,0,NA,"187-75",19.9961,221.445985165,10,199.961,"no","",43.3949461321,-77.3242415683,1533939643,0.00761448339587973,279.624627530757
70,"01-Aug-2018 19:28:41",43.39175,-78.6843833333,322,0.03,3788,4995,"(100,72)",100,72,-74.0742,0,0,0,0,0.192,0.001,5.212022,NA,5.212022,0,NA,"100-72",7.4266,70.6818825419,10,74.266,"yes","",43.3899108769,-78.6880214043,1533151721,0.0133154412624214,155.067568681824
128,"06-Aug-2018 05:37:21",43.3925,-78.1733333333,135,0.04,6001,3457,"(137,63)",137,63,-33.9872,0,0,0,0,0.192,0.001,5.574947,NA,5.574947,0,NA,"137-63",3.4179,19.8352127842,10,34.179,"yes","",43.3932458447,-78.1702033091,1533533841,0.0183767438963329,12.4777962449217
129,"06-Aug-2018 06:00:43",43.39275,-78.1693166667,78,0.02,6001,3457,"(137,63)",137,63,-33.9872,0,0,0,0,0.192,0.001,5.574947,NA,5.574947,0,NA,"137-63",3.4179,19.8352127842,10,34.179,"yes","",43.3932458447,-78.1702033091,1533535243,0.0210354572656224,11.4013894027421
97,"03-Aug-2018 18:19:25",43.39285,-78.48715,109,0.06,4737,3608,"(116,64)",116,64,-33.8654,0,0,0,0,0.192,0.001,5.597024,NA,5.597024,0,NA,"116-64",3.4057,13.1870411067,10,34.057,"yes","",43.3927347429,-78.4814243115,1533320365,0.0425138982389558,6.66375637337536
