I	J	XCent	YCent	CUE	CVE	CUN	CVN	WNDSHLT	lat	lon
176	12	781497.4	4795893.1	0.99763	0.06879	-0.06879	0.99763	1	43.26326133	-77.53168465
177	12	782956.9	4795782.7	0.99765	0.06855	-0.06855	0.99765	1	43.26172275	-77.51379148
178	12	784418.8	4795694.2	0.99812	0.06135	-0.06135	0.99812	1	43.26037733	-77.49585858
179	12	785880.6	4795605.7	0.99854	0.05403	-0.05403	0.99854	1	43.25902915	-77.47792788
180	12	787342.5	4795517.2	0.99891	0.04659	-0.04659	0.99891	1	43.25767815	-77.45999692
169	13	771425.9	4797015.8	0.99889	0.04713	-0.04713	0.99889	1	43.27704684	-77.65501056
170	13	772849.8	4796910.1	0.99893	0.04623	-0.04623	0.99893	1	43.27558249	-77.6375447
171	13	774273.8	4796804.5	0.99897	0.04532	-0.04532	0.99897	1	43.27411636	-77.62007856
172	13	775697.7	4796698.8	0.99901	0.04442	-0.04442	0.99901	1	43.27264673	-77.60261471
173	13	777139.6	4796582.5	0.99886	0.04769	-0.04769	0.99886	1	43.27107255	-77.58493577
174	13	778599.3	4796455.6	0.99849	0.05498	-0.05498	0.99849	1	43.26939381	-77.56704434
175	13	780059	4796328.6	0.99808	0.06201	-0.06201	0.99808	1	43.2677114	-77.54915412
176	13	781518.7	4796201.6	0.99763	0.06879	-0.06879	0.99763	1	43.26602622	-77.53126506
177	13	782978.2	4796092.7	0.99765	0.06855	-0.06855	0.99765	1	43.26450103	-77.51337033
178	13	784437.7	4796001.8	0.99812	0.06135	-0.06135	0.99812	1	43.26313485	-77.49546738
179	13	785897.2	4795911	0.99854	0.05403	-0.05403	0.99854	1	43.26176678	-77.47756537
180	13	787356.6	4795820.1	0.99891	0.04659	-0.04659	0.99891	1	43.26039508	-77.45966562
169	14	771439.6	4797305.8	0.99889	0.04713	-0.04713	0.99889	1	43.2796488	-77.65469904
170	14	772863.3	4797200	0.99893	0.04623	-0.04623	0.99893	1	43.27818355	-77.63723495
171	14	774286.9	4797094.3	0.99897	0.04532	-0.04532	0.99897	1	43.2767166	-77.61977305
172	14	775710.6	4796988.5	0.99901	0.04442	-0.04442	0.99901	1	43.27524606	-77.60231098
173	14	777153.5	4796874.9	0.99886	0.04769	-0.04769	0.99886	1	43.27369572	-77.58461765
174	14	778615.7	4796753.3	0.99849	0.05498	-0.05498	0.99849	1	43.27206362	-77.56669202
175	14	780077.8	4796631.8	0.99808	0.06201	-0.06201	0.99808	1	43.27042967	-77.54876872
176	14	781539.9	4796510.2	0.99763	0.06879	-0.06879	0.99763	1	43.26879205	-77.5308466
177	14	782999.5	4796402.8	0.99765	0.06855	-0.06855	0.99765	1	43.26728021	-77.51294908
178	14	784456.6	4796309.5	0.99812	0.06135	-0.06135	0.99812	1	43.26589327	-77.49507609
179	14	785913.7	4796216.3	0.99854	0.05403	-0.05403	0.99854	1	43.26450445	-77.47720404
180	14	787370.7	4796123	0.99891	0.04659	-0.04659	0.99891	1	43.26311201	-77.45933427
181	14	788833.5	4796033.4	0.9991	0.04244	-0.04244	0.9991	1	43.26174782	-77.44139224
169	15	771453.3	4797595.8	0.99889	0.04713	-0.04713	0.99889	1	43.28225075	-77.65438748
170	15	772876.7	4797489.9	0.99893	0.04623	-0.04623	0.99893	1	43.28078464	-77.6369264
171	15	774300.1	4797384.1	0.99897	0.04532	-0.04532	0.99897	1	43.27931679	-77.61946628
172	15	775723.5	4797278.2	0.99901	0.04442	-0.04442	0.99901	1	43.2778454	-77.60200722
173	15	777167.5	4797167.2	0.99886	0.04769	-0.04769	0.99886	1	43.27631795	-77.5842983
174	15	778632.1	4797051.1	0.99849	0.05498	-0.05498	0.99849	1	43.27473432	-77.56633962
175	15	780096.6	4796934.9	0.99808	0.06201	-0.06201	0.99808	1	43.27314704	-77.54838333
176	15	781561.2	4796818.8	0.99763	0.06879	-0.06879	0.99763	1	43.27155783	-77.53042687
177	15	783020.8	4796712.9	0.99765	0.06855	-0.06855	0.99765	1	43.27005938	-77.51252778
178	15	784475.5	4796617.2	0.99812	0.06135	-0.06135	0.99812	1	43.26865168	-77.49468475
179	15	785930.2	4796521.6	0.99854	0.05403	-0.05403	0.99854	1	43.26724211	-77.47684268
180	15	787384.9	4796425.9	0.99891	0.04659	-0.04659	0.99891	1	43.26582889	-77.45900166
181	15	788846.3	4796333	0.9991	0.04244	-0.04244	0.9991	1	43.26443551	-77.44107779
168	16	770064.2	4797997.1	0.99877	0.04958	-0.04958	0.99877	1	43.2863574	-77.67128255
169	16	771466.9	4797885.8	0.99889	0.04713	-0.04713	0.99889	1	43.28485274	-77.65407711
170	16	772890.1	4797779.8	0.99893	0.04623	-0.04623	0.99893	1	43.28338573	-77.63661782
171	16	774313.2	4797673.9	0.99897	0.04532	-0.04532	0.99897	1	43.28191702	-77.6191607
172	16	775736.4	4797568	0.99901	0.04442	-0.04442	0.99901	1	43.28044563	-77.60170337
173	16	777181.5	4797459.6	0.99886	0.04769	-0.04769	0.99886	1	43.27894107	-77.58397888
