"I_Value","J_Value","TP_Base","TP_Slow_Settling","Conc_Change","Percent_Change"
29,84,6.0597476476687e-06,6.48540481051896e-06,4.25657162850257e-07,7.02433810117514
29,85,5.97396319790278e-06,6.4379996729258e-06,4.64036475023022e-07,7.7676487057357
29,86,5.9439144024509e-06,6.42808117845561e-06,4.84166776004713e-07,8.14558796144629
29,87,5.93509685131721e-06,6.42881332169054e-06,4.93716470373329e-07,8.31859163787286
29,88,5.94799757891451e-06,6.43871680949815e-06,4.90719230583636e-07,8.25015854618405
29,89,5.96438303546165e-06,6.44312876829645e-06,4.78745732834795e-07,8.02674358753252
29,90,6.03091712036985e-06,6.47822707833257e-06,4.47309957962716e-07,7.41694752282194
29,91,6.15256112723728e-06,6.55529038340319e-06,4.02729256165912e-07,6.54571726858653
29,92,6.22781271886197e-06,6.60412433717283e-06,3.76311618310865e-07,6.04243633035307
29,93,6.31542616247316e-06,6.66797086523729e-06,3.52544702764135e-07,5.5822789103131
29,94,6.38140545561328e-06,6.71720681566512e-06,3.35801360051846e-07,5.26218499024326
30,77,6.34670004728832e-06,6.64644358039368e-06,2.99743533105357e-07,4.72282494638177
30,78,6.34039997748914e-06,6.64339677314274e-06,3.02996795653598e-07,4.77882778262182
30,79,6.42050054011634e-06,6.70228610033519e-06,2.8178556021885e-07,4.38884100169773
30,80,6.37412495052558e-06,6.67050790070789e-06,2.96382950182306e-07,4.64978255811987
30,81,6.34151274425676e-06,6.65410425426671e-06,3.12591510009952e-07,4.92928931339061
30,82,6.22237030256656e-06,6.58308090351056e-06,3.60710600944003e-07,5.79699669746784
30,83,6.0940146795474e-06,6.50613719699322e-06,4.12122517445823e-07,6.76274244676469
30,84,6.02256022830261e-06,6.46709031570936e-06,4.44530087406747e-07,7.3810816422841
30,85,5.96646623307606e-06,6.44075134914601e-06,4.7428511606995e-07,7.9491795904362
30,86,5.95766550759436e-06,6.4448995544808e-06,4.87234046886442e-07,8.17827127530667
30,87,5.96342124481453e-06,6.45409863864188e-06,4.90677393827355e-07,8.22811895527289
30,88,5.97294138060533e-06,6.460569693445e-06,4.87628312839661e-07,8.16395611085407
30,89,5.97795769863296e-06,6.45826457912335e-06,4.80306880490389e-07,8.03463163682515
30,90,6.01974761593738e-06,6.47547540211235e-06,4.55727786174975e-07,7.57054639580618
30,91,6.13055271969642e-06,6.54379573461483e-06,4.13243014918407e-07,6.74071382814681
30,92,6.21038407189189e-06,6.59451416140655e-06,3.84130089514656e-07,6.18528717496271
30,93,6.27734698355198e-06,6.64130902805482e-06,3.63962044502841e-07,5.7980233601313
30,94,6.34876641925075e-06,6.69381461193552e-06,3.45048192684771e-07,5.43488561240047
30,95,6.32501041764044e-06,6.67694666844909e-06,3.51936250808649e-07,5.56420033439153
31,75,6.41106635157485e-06,6.68720258545363e-06,2.76136233878788e-07,4.30718103254315
31,76,6.32126057098503e-06,6.62616957924911e-06,3.04909008264076e-07,4.82354753201643
31,77,6.34479420114076e-06,6.64589970256202e-06,3.01105501421262e-07,4.74570950413371
31,78,6.2820781749906e-06,6.60287832943141e-06,3.20800154440803e-07,5.10659284244395
31,79,6.38378378425841e-06,6.67825543132494e-06,2.9447164706653e-07,4.61280734151208
31,80,6.34398475085618e-06,6.65069956085063e-06,3.06714809994446e-07,4.83473435135625
31,81,6.28385669187992e-06,6.61687363390229e-06,3.33016942022368e-07,5.29956296509271
31,82,6.10783445154084e-06,6.50926267553587e-06,4.01428223995026e-07,6.57234945020091
31,83,6.03813214183901e-06,6.4744222072477e-06,4.36290065408684e-07,7.2255799502229
31,84,5.98756605540984e-06,6.45129102849751e-06,4.63724973087665e-07,7.7447992856577
31,85,5.97119242229383e-06,6.45214186079102e-06,4.80949438497191e-07,8.05449572687586
31,86,5.98098722548457e-06,6.46686839900212e-06,4.85881173517555e-07,8.12376210146795
31,87,5.9951107687084e-06,6.48001605441095e-06,4.84905285702553e-07,8.08834572721367
31,88,6.00443308940157e-06,6.48569857730763e-06,4.81265487906057e-07,8.01516947129512
31,89,6.00299017605721e-06,6.48008108328213e-06,4.7709090722492e-07,7.94755435595723
31,90,6.01700230618007e-06,6.47812157694716e-06,4.61119270767085e-07,7.66360468722887
31,91,6.10769347986206e-06,6.53163897368358e-06,4.2394549382152e-07,6.94117174051594
31,92,6.19230013398919e-06,6.58475573800388e-06,3.92455604014685e-07,6.33780009887632
31,93,6.24612721367157e-06,6.62025468045613e-06,3.74127466784557e-07,5.98975099267374
31,94,6.30323665973265e-06,6.6608940869628e-06,3.57657427230151e-07,5.67418687473685
31,95,6.39586278339266e-06,6.73111026117112e-06,3.35247477778466e-07,5.24163024023845
32,75,6.37343555354164e-06,6.65809238853399e-06,2.84656834992347e-07,4.46630130015462
32,76,6.35879905530601e-06,6.65377638142672e-06,2.94977326120716e-07,4.63888422255734
32,77,6.29244595984346e-06,6.60970454191556e-06,3.172585820721e-07,5.04189601463009
32,78,6.28301313554402e-06,6.60628620607895e-06,3.23273070534924e-07,5.14519170278534
32,79,6.29917485639453e-06,6.61809372104472e-06,3.18918864650186e-07,5.06286731073102
32,80,6.33025729257497e-06,6.64324443278019e-06,3.12987140205223e-07,4.94430361578413
32,81,6.26905193712446e-06,6.61097055854043e-06,3.41918621415971e-07,5.45407224003323
32,82,6.09833250564407e-06,6.50914125799318e-06,4.10808752349112e-07,6.73641117418417
32,83,6.00761768509983e-06,6.46141552351764e-06,4.53797838417813e-07,7.55370701340281
32,84,5.98434598941822e-06,6.45720092506963e-06,4.72854935651412e-07,7.90153070172639
32,85,5.98829728915007e-06,6.46990702080075e-06,4.81609731650678e-07,8.04251539954915
32,86,6.0082197705924e-06,6.48981722406461e-06,4.81597453472205e-07,8.01564309996469
32,87,6.03059652348747e-06,6.50749188935151e-06,4.76895365864038e-07,7.90793023553583
32,88,6.04064462095266e-06,6.51312166155549e-06,4.72477040602826e-07,7.82163279336091
32,89,6.03049466008088e-06,6.50161973680952e-06,4.7112507672864e-07,7.81237864030082
32,90,6.0220963860047e-06,6.4853479671001e-06,4.63251581095392e-07,7.69253016560785
32,91,6.08637765253661e-06,6.51993468636647e-06,4.33557033829857e-07,7.1234001335616
32,92,6.17082469034358e-06,6.57244390822598e-06,4.01619217882399e-07,6.50835565805123
32,93,6.22249808657216e-06,6.60529212836991e-06,3.82794041797752e-07,6.15177435930116
32,94,6.2665340010426e-06,6.63503715259139e-06,3.68503151548794e-07,5.88049392993772
32,95,6.37026914773742e-06,6.71284578857012e-06,3.42576640832704e-07,5.37774202137722
32,96,6.39993868389865e-06,6.73727527100709e-06,3.37336587108439e-07,5.27093467250132
33,75,6.35467768006492e-06,6.64478739054175e-06,2.90109710476827e-07,4.56529386827788
33,76,6.31983857601881e-06,6.62544289298239e-06,3.05604316963581e-07,4.83563485502975
33,77,6.25665325060254e-06,6.58550470689079e-06,3.28851456288248e-07,5.25602815301581
33,78,6.2306476138474e-06,6.57018154015532e-06,3.39533926307922e-07,5.44941629427606
33,79,6.30859494776814e-06,6.62790216665599e-06,3.19307218887843e-07,5.06146331364653
33,80,6.3053425947146e-06,6.62953380015097e-06,3.24191205436364e-07,5.14153197176176
33,81,6.18937565377564e-06,6.56342763249995e-06,3.7405197872431e-07,6.04345251683231
33,82,6.07784249950782e-06,6.50164656690322e-06,4.23804067395395e-07,6.9729359954575
33,83,6.00527482674806e-06,6.46605985821225e-06,4.60785031464184e-07,7.67300489582597
33,84,6.00265093453345e-06,6.47526076136273e-06,4.72609826829284e-07,7.8733518237808
33,85,6.01442025072174e-06,6.49199591862271e-06,4.77575667900965e-07,7.9405104397827
33,86,6.039358140697e-06,6.51419532005093e-06,4.74837179353926e-07,7.86237822450326
33,87,6.06586809226428e-06,6.53407414574758e-06,4.682060534833e-07,7.71869823678488
33,88,6.07512947681244e-06,6.53851066090283e-06,4.63381184090395e-07,7.6275112466167
33,89,6.05835521128029e-06,6.52183871352463e-06,4.63483502244344e-07,7.65031904008147
33,90,6.03335683990736e-06,6.49578305456089e-06,4.62426214653533e-07,7.66449303304649
33,91,6.07278116149246e-06,6.51315440336475e-06,4.40373241872294e-07,7.25159083065109
33,92,6.14799591858173e-06,6.55891653877916e-06,4.1092062019743e-07,6.68381413454525
33,93,6.19908541921177e-06,6.59068564345944e-06,3.91600224247668e-07,6.31706449848308
33,94,6.23628557150369e-06,6.6144689299108e-06,3.78183358407114e-07,6.06424054945782
33,95,6.32355795460171e-06,6.67880294713541e-06,3.55244992533699e-07,5.61780243154384
33,96,6.33106174063869e-06,6.68484744892339e-06,3.53785708284704e-07,5.58809442678115
34,75,6.34422167422599e-06,6.64370782033075e-06,2.99486146104755e-07,4.7206128897016
34,76,6.29061469226144e-06,6.6063375925296e-06,3.15722900268156e-07,5.01895149700633
34,77,6.23875121164019e-06,6.57466580378241e-06,3.35914592142217e-07,5.38432421404257
34,78,6.21839262748836e-06,6.56419160804944e-06,3.45798980561085e-07,5.56090619033098
34,79,6.28408406555536e-06,6.61319973005448e-06,3.29115664499113e-07,5.23728933390753
34,80,6.28611178399296e-06,6.62003094475949e-06,3.33919160766527e-07,5.31201436183211
34,81,6.14063128523412e-06,6.53504048386822e-06,3.94409198634094e-07,6.4229422076277
34,82,6.05576315138023e-06,6.49193270874093e-06,4.36169557360699e-07,7.20255311275322
34,83,6.01978308623075e-06,6.47995375402388e-06,4.60170667793136e-07,7.64430646754864
34,84,6.02097316004802e-06,6.49121784590534e-06,4.70244685857324e-07,7.81011097969375
34,85,6.03911030339077e-06,6.5117160374939e-06,4.72605734103126e-07,7.82575098583268
34,86,6.0717779888364e-06,6.53884171697428e-06,4.67063728137873e-07,7.69237164133172
34,87,6.09735207035556e-06,6.55770236335229e-06,4.60350292996736e-07,7.55000347175117
34,88,6.10434517511749e-06,6.56017755318317e-06,4.55832378065679e-07,7.46734276960192
34,89,6.08843538429937e-06,6.54346786177484e-06,4.5503247747547e-07,7.47371777400957
34,90,6.05130435360479e-06,6.50950642011594e-06,4.58202066511149e-07,7.57195539566929
34,91,6.06969297223259e-06,6.51316531730117e-06,4.43472345068585e-07,7.30633900425222
34,92,6.12823714618571e-06,6.54721407045145e-06,4.18976924265735e-07,6.83682622377809
34,93,6.17698879068485e-06,6.57701411910239e-06,4.00025328417541e-07,6.47605721773036
34,94,6.21357503405306e-06,6.59989655105164e-06,3.86321516998578e-07,6.21737912363446
34,95,6.27735744274105e-06,6.64543767925352e-06,3.68080236512469e-07,5.86361761091216
34,96,6.3004677031131e-06,6.66229607304558e-06,3.61828369932482e-07,5.74288111585272
34,97,6.39329982732306e-06,6.73780232318677e-06,3.44502495863708e-07,5.38849272157402
35,75,6.38620440440718e-06,6.67483209326747e-06,2.88627688860288e-07,4.51954980741148
35,76,6.24652375336154e-06,6.57872715237318e-06,3.32203399011632e-07,5.31821237104651
35,77,6.20332093603793e-06,6.55372423352674e-06,3.5040329748881e-07,5.64864047986229
35,78,6.21141771262046e-06,6.56253223496606e-06,3.51114522345597e-07,5.65272758314413
35,79,6.24084350420162e-06,6.58687849863782e-06,3.46034994436195e-07,5.54468308976549
35,80,6.26423889116268e-06,6.61121293887845e-06,3.46974047715776e-07,5.53896576653984
35,81,6.12240228292649e-06,6.52673998047248e-06,4.04337697545998e-07,6.60423276454036
35,82,6.05967443334521e-06,6.49826961307554e-06,4.38595179730328e-07,7.23793306975081
35,83,6.03443959334982e-06,6.49280946163344e-06,4.58369868283626e-07,7.59589786578967
35,84,6.03463649895275e-06,6.50321999273729e-06,4.68583493784536e-07,7.76490007088005
35,85,6.05785635343636e-06,6.52655398880597e-06,4.68697635369608e-07,7.73702128317612
35,86,6.09496009928989e-06,6.55653957437607e-06,4.61579475086182e-07,7.57313366399166
35,87,6.12206849837094e-06,6.5766612351581e-06,4.54592736787163e-07,7.42547615904867
35,88,6.13204429100733e-06,6.58150611343444e-06,4.49461822427111e-07,7.32972237474293
35,89,6.12000394539791e-06,6.56709016766399e-06,4.4708622226608e-07,7.30532571963908
35,90,6.08284699410433e-06,6.53236020298209e-06,4.49513208877761e-07,7.38984901828769
35,91,6.07146284892224e-06,6.51583468425088e-06,4.44371835328639e-07,7.31902420200957
35,92,6.11697896601981e-06,6.54117093290552e-06,4.24191966885701e-07,6.93466446823036
35,93,6.16285569776664e-06,6.5690437622834e-06,4.06188064516755e-07,6.59090662570524
35,94,6.19671527601895e-06,6.58978933643084e-06,3.93074060411891e-07,6.34326482504485
35,95,6.24248923486448e-06,6.62105139781488e-06,3.78562162950402e-07,6.06428219108688
35,96,6.26499013378634e-06,6.63647006149404e-06,3.71479927707696e-07,5.92945750551704
35,97,6.44495912638376e-06,6.77823391015409e-06,3.33274783770321e-07,5.17109227901837
36,74,6.3125767155725e-06,6.61889953335049e-06,3.06322817777982e-07,4.85257972425608
36,75,6.33125637250487e-06,6.63688251734129e-06,3.05626144836424e-07,4.8272590281399
36,76,6.22487004875438e-06,6.56525253361906e-06,3.40382484864676e-07,5.4681058752831
36,77,6.1262808230822e-06,6.49887761028367e-06,3.72596787201473e-07,6.08194103341832
36,78,6.17269961367128e-06,6.53806591799366e-06,3.65366304322379e-07,5.91906827141185
36,79,6.21946946921526e-06,6.5757362790464e-06,3.56266809831141e-07,5.7282508032971
36,80,6.17167688687914e-06,6.55205712973839e-06,3.80380242859246e-07,6.16332076081181
36,81,6.10544475421193e-06,6.51918708172161e-06,4.13742327509681e-07,6.77661241999208
