"I_Value","J_Value","TP_Base","TP_25Percent_GeneseeRiver","Conc_Change","Percent_Change"
27,82,6.40839334664633e-06,6.40839334664633e-06,0,0
27,83,6.34095977147808e-06,6.34095977147808e-06,0,0
27,84,6.22382049186854e-06,6.22382049186854e-06,0,0
27,85,6.01027886659722e-06,6.01027886659722e-06,0,0
27,86,5.93650975133642e-06,5.93650975133642e-06,0,0
27,87,5.91401067140396e-06,5.91401067140396e-06,0,0
27,88,5.92547939959331e-06,5.92547939959331e-06,0,0
27,89,5.97694543102989e-06,5.97694543102989e-06,0,0
27,90,6.095222033764e-06,6.095222033764e-06,0,0
27,91,6.19878892393899e-06,6.19878892393899e-06,0,0
27,92,6.27811505182763e-06,6.27811505182763e-06,0,0
27,93,6.29214309810777e-06,6.29214309810777e-06,0,0
28,77,6.32028331892798e-06,6.32028331892798e-06,0,0
28,78,6.32985438642208e-06,6.32985438642208e-06,0,0
28,79,6.41872202322702e-06,6.41872202322702e-06,0,0
28,80,6.37667244518525e-06,6.37667244518525e-06,0,0
28,81,6.35459446129971e-06,6.35459446129971e-06,0,0
28,82,6.35752076050267e-06,6.35752076050267e-06,0,0
28,83,6.1486730373872e-06,6.1486730373872e-06,0,0
28,84,6.08798291068524e-06,6.08798291068524e-06,0,0
28,85,5.99543318458018e-06,5.99543318458018e-06,0,0
28,86,5.93904360357556e-06,5.93904360357556e-06,0,0
28,87,5.91743491895613e-06,5.91743491895613e-06,0,0
28,88,5.9262424656481e-06,5.9262424656481e-06,0,0
28,89,5.96469544689171e-06,5.96469544689171e-06,0,0
28,90,6.05788136454066e-06,6.05788136454066e-06,0,0
28,91,6.17363139099325e-06,6.17363139099325e-06,0,0
28,92,6.25065922577051e-06,6.25065922577051e-06,0,0
28,93,6.3407392190129e-06,6.3407392190129e-06,0,0
28,94,6.32908313491498e-06,6.32908313491498e-06,0,0
29,77,6.25601524006925e-06,6.25601524006925e-06,0,0
29,78,6.3139341364149e-06,6.3139341364149e-06,0,0
29,79,6.43886232865043e-06,6.43886232865043e-06,0,0
29,80,6.38366736893659e-06,6.38366736893659e-06,0,0
29,81,6.35537344351178e-06,6.35537344351178e-06,0,0
29,82,6.29297574050725e-06,6.29297574050725e-06,0,0
29,83,6.23262212684494e-06,6.23262212684494e-06,0,0
29,84,6.0597476476687e-06,6.0597476476687e-06,0,0
29,85,5.97396319790278e-06,5.97396319790278e-06,0,0
29,86,5.9439144024509e-06,5.9439144024509e-06,0,0
29,87,5.93509685131721e-06,5.93509685131721e-06,0,0
29,88,5.94799757891451e-06,5.94799757891451e-06,0,0
29,89,5.96438303546165e-06,5.96438303546165e-06,0,0
29,90,6.03091712036985e-06,6.03091712036985e-06,0,0
29,91,6.15256112723728e-06,6.15256112723728e-06,0,0
29,92,6.22781271886197e-06,6.22781271886197e-06,0,0
29,93,6.31542616247316e-06,6.31542616247316e-06,0,0
29,94,6.38140545561328e-06,6.38140545561328e-06,0,0
30,77,6.34670004728832e-06,6.34670004728832e-06,0,0
30,78,6.34039997748914e-06,6.34039997748914e-06,0,0
30,79,6.42050054011634e-06,6.42050054011634e-06,0,0
30,80,6.37412495052558e-06,6.37412495052558e-06,0,0
30,81,6.34151274425676e-06,6.34151274425676e-06,0,0
30,82,6.22237030256656e-06,6.22237030256656e-06,0,0
30,83,6.0940146795474e-06,6.0940146795474e-06,0,0
30,84,6.02256022830261e-06,6.02256022830261e-06,0,0
30,85,5.96646623307606e-06,5.96646623307606e-06,0,0
30,86,5.95766550759436e-06,5.95766550759436e-06,0,0
30,87,5.96342124481453e-06,5.96342124481453e-06,0,0
30,88,5.97294138060533e-06,5.97294138060533e-06,0,0
30,89,5.97795769863296e-06,5.97795769863296e-06,0,0
30,90,6.01974761593738e-06,6.01974761593738e-06,0,0
30,91,6.13055271969642e-06,6.13055271969642e-06,0,0
30,92,6.21038407189189e-06,6.21038407189189e-06,0,0
30,93,6.27734698355198e-06,6.27734698355198e-06,0,0
30,94,6.34876641925075e-06,6.34876641925075e-06,0,0
30,95,6.32501041764044e-06,6.32501041764044e-06,0,0
31,75,6.41106635157485e-06,6.41106635157485e-06,0,0
31,76,6.32126057098503e-06,6.32126057098503e-06,0,0
31,77,6.34479420114076e-06,6.34479420114076e-06,0,0
31,78,6.2820781749906e-06,6.2820781749906e-06,0,0
31,79,6.38378378425841e-06,6.38378378425841e-06,0,0
31,80,6.34398475085618e-06,6.34398475085618e-06,0,0
31,81,6.28385669187992e-06,6.28385669187992e-06,0,0
31,82,6.10783445154084e-06,6.10783445154084e-06,0,0
31,83,6.03813214183901e-06,6.03813214183901e-06,0,0
31,84,5.98756605540984e-06,5.98756605540984e-06,0,0
31,85,5.97119242229383e-06,5.97119242229383e-06,0,0
31,86,5.98098722548457e-06,5.98098722548457e-06,0,0
31,87,5.9951107687084e-06,5.9951107687084e-06,0,0
31,88,6.00443308940157e-06,6.00443308940157e-06,0,0
31,89,6.00299017605721e-06,6.00299017605721e-06,0,0
31,90,6.01700230618007e-06,6.01700230618007e-06,0,0
31,91,6.10769347986206e-06,6.10769347986206e-06,0,0
31,92,6.19230013398919e-06,6.19230013398919e-06,0,0
31,93,6.24612721367157e-06,6.24612721367157e-06,0,0
31,94,6.30323665973265e-06,6.30323665973265e-06,0,0
31,95,6.39586278339266e-06,6.39586278339266e-06,0,0
32,75,6.37343555354164e-06,6.37343555354164e-06,0,0
32,76,6.35879905530601e-06,6.35879905530601e-06,0,0
32,77,6.29244595984346e-06,6.29244595984346e-06,0,0
32,78,6.28301313554402e-06,6.28301313554402e-06,0,0
32,79,6.29917485639453e-06,6.29917485639453e-06,0,0
32,80,6.33025729257497e-06,6.33025729257497e-06,0,0
32,81,6.26905193712446e-06,6.26905193712446e-06,0,0
32,82,6.09833250564407e-06,6.09833250564407e-06,0,0
32,83,6.00761768509983e-06,6.00761768509983e-06,0,0
32,84,5.98434598941822e-06,5.98434598941822e-06,0,0
32,85,5.98829728915007e-06,5.98829728915007e-06,0,0
32,86,6.0082197705924e-06,6.0082197705924e-06,0,0
32,87,6.03059652348747e-06,6.03059652348747e-06,0,0
32,88,6.04064462095266e-06,6.04064462095266e-06,0,0
32,89,6.03049466008088e-06,6.03049466008088e-06,0,0
32,90,6.0220963860047e-06,6.0220963860047e-06,0,0
32,91,6.08637765253661e-06,6.08637765253661e-06,0,0
32,92,6.17082469034358e-06,6.17082469034358e-06,0,0
32,93,6.22249808657216e-06,6.22249808657216e-06,0,0
32,94,6.2665340010426e-06,6.2665340010426e-06,0,0
32,95,6.37026914773742e-06,6.37026914773742e-06,0,0
32,96,6.39993868389865e-06,6.39993868389865e-06,0,0
33,75,6.35467768006492e-06,6.35467768006492e-06,0,0
33,76,6.31983857601881e-06,6.31983857601881e-06,0,0
33,77,6.25665325060254e-06,6.25665325060254e-06,0,0
33,78,6.2306476138474e-06,6.2306476138474e-06,0,0
33,79,6.30859494776814e-06,6.30859494776814e-06,0,0
33,80,6.3053425947146e-06,6.3053425947146e-06,0,0
33,81,6.18937565377564e-06,6.18937565377564e-06,0,0
33,82,6.07784249950782e-06,6.07784249950782e-06,0,0
33,83,6.00527482674806e-06,6.00527482674806e-06,0,0
33,84,6.00265093453345e-06,6.00265093453345e-06,0,0
33,85,6.01442025072174e-06,6.01442025072174e-06,0,0
33,86,6.039358140697e-06,6.039358140697e-06,0,0
33,87,6.06586809226428e-06,6.06586809226428e-06,0,0
33,88,6.07512947681244e-06,6.07512947681244e-06,0,0
33,89,6.05835521128029e-06,6.05835521128029e-06,0,0
33,90,6.03335683990736e-06,6.03335683990736e-06,0,0
33,91,6.07278116149246e-06,6.07278116149246e-06,0,0
33,92,6.14799591858173e-06,6.14799591858173e-06,0,0
33,93,6.19908541921177e-06,6.19908541921177e-06,0,0
33,94,6.23628557150369e-06,6.23628557150369e-06,0,0
33,95,6.32355795460171e-06,6.32355795460171e-06,0,0
33,96,6.33106174063869e-06,6.33106174063869e-06,0,0
34,75,6.34422167422599e-06,6.34422167422599e-06,0,0
34,76,6.29061469226144e-06,6.29061469226144e-06,0,0
34,77,6.23875121164019e-06,6.23875121164019e-06,0,0
34,78,6.21839262748836e-06,6.21839262748836e-06,0,0
34,79,6.28408406555536e-06,6.28408406555536e-06,0,0
34,80,6.28611178399296e-06,6.28611178399296e-06,0,0
34,81,6.14063128523412e-06,6.14063128523412e-06,0,0
34,82,6.05576315138023e-06,6.05576315138023e-06,0,0
34,83,6.01978308623075e-06,6.01978308623075e-06,0,0
34,84,6.02097316004802e-06,6.02097316004802e-06,0,0
34,85,6.03911030339077e-06,6.03911030339077e-06,0,0
34,86,6.0717779888364e-06,6.0717779888364e-06,0,0
34,87,6.09735207035556e-06,6.09735207035556e-06,0,0
34,88,6.10434517511749e-06,6.10434517511749e-06,0,0
34,89,6.08843538429937e-06,6.08843538429937e-06,0,0
34,90,6.05130435360479e-06,6.05130435360479e-06,0,0
34,91,6.06969297223259e-06,6.06969297223259e-06,0,0
34,92,6.12823714618571e-06,6.12823714618571e-06,0,0
34,93,6.17698879068485e-06,6.17698879068485e-06,0,0
34,94,6.21357503405306e-06,6.21357503405306e-06,0,0
34,95,6.27735744274105e-06,6.27735744274105e-06,0,0
34,96,6.3004677031131e-06,6.3004677031131e-06,0,0
34,97,6.39329982732306e-06,6.39329982732306e-06,0,0
35,75,6.38620440440718e-06,6.38620440440718e-06,0,0
35,76,6.24652375336154e-06,6.24652375336154e-06,0,0
35,77,6.20332093603793e-06,6.20332093603793e-06,0,0
35,78,6.21141771262046e-06,6.21141771262046e-06,0,0
35,79,6.24084350420162e-06,6.24084350420162e-06,0,0
35,80,6.26423889116268e-06,6.26423889116268e-06,0,0
35,81,6.12240228292649e-06,6.12240228292649e-06,0,0
35,82,6.05967443334521e-06,6.05967443334521e-06,0,0
35,83,6.03443959334982e-06,6.03443959334982e-06,0,0
35,84,6.03463649895275e-06,6.03463649895275e-06,0,0
35,85,6.05785635343636e-06,6.05785635343636e-06,0,0
35,86,6.09496009928989e-06,6.09496009928989e-06,0,0
35,87,6.12206849837094e-06,6.12206849837094e-06,0,0
35,88,6.13204429100733e-06,6.13204429100733e-06,0,0
35,89,6.12000394539791e-06,6.12000394539791e-06,0,0
35,90,6.08284699410433e-06,6.08284699410433e-06,0,0
35,91,6.07146284892224e-06,6.07146284892224e-06,0,0
35,92,6.11697896601981e-06,6.11697896601981e-06,0,0
35,93,6.16285569776664e-06,6.16285569776664e-06,0,0
35,94,6.19671527601895e-06,6.19671527601895e-06,0,0
35,95,6.24248923486448e-06,6.24248923486448e-06,0,0
35,96,6.26499013378634e-06,6.26499013378634e-06,0,0
35,97,6.44495912638376e-06,6.44495912638376e-06,0,0
36,74,6.3125767155725e-06,6.3125767155725e-06,0,0
36,75,6.33125637250487e-06,6.33125637250487e-06,0,0
36,76,6.22487004875438e-06,6.22487004875438e-06,0,0
36,77,6.1262808230822e-06,6.1262808230822e-06,0,0
36,78,6.17269961367128e-06,6.17269961367128e-06,0,0
36,79,6.21946946921526e-06,6.21946946921526e-06,0,0
36,80,6.17167688687914e-06,6.17167688687914e-06,0,0
36,81,6.10544475421193e-06,6.10544475421193e-06,0,0
36,82,6.06428875471465e-06,6.06428875471465e-06,0,0
36,83,6.04409524385119e-06,6.04409524385119e-06,0,0
36,84,6.04323804509477e-06,6.04323804509477e-06,0,0
36,85,6.07408765063155e-06,6.07408765063155e-06,0,0
36,86,6.11349241808057e-06,6.11349241808057e-06,0,0
36,87,6.14100190432509e-06,6.14100190432509e-06,0,0
36,88,6.15729823039146e-06,6.15729823039146e-06,0,0
36,89,6.15116323388065e-06,6.15116323388065e-06,0,0
36,90,6.11732866673265e-06,6.11732866673265e-06,0,0
36,91,6.08425489190267e-06,6.08425489190267e-06,0,0
36,92,6.11481118539814e-06,6.11481118539814e-06,0,0
36,93,6.15641056356253e-06,6.15641056356253e-06,0,0
36,94,6.18561352894176e-06,6.18561352894176e-06,0,0
36,95,6.22266861682874e-06,6.22266861682874e-06,0,0
36,96,6.23990626991144e-06,6.23990626991144e-06,0,0
36,97,6.37975517747691e-06,6.37975517747691e-06,0,0
37,74,6.3181896621245e-06,6.3181896621245e-06,0,0
37,75,6.31907869319548e-06,6.31907869319548e-06,0,0
37,76,6.22692050455953e-06,6.22692050455953e-06,0,0
37,77,6.13102656643605e-06,6.13102656643605e-06,0,0
37,78,6.15756971455994e-06,6.15756971455994e-06,0,0
37,79,6.14573173152166e-06,6.14573173152166e-06,0,0
37,80,6.13210522715235e-06,6.13210522715235e-06,0,0
37,81,6.09957214692258e-06,6.09957214692258e-06,0,0
37,82,6.06697494731634e-06,6.06697494731634e-06,0,0
37,83,6.04579008722794e-06,6.04579008722794e-06,0,0
37,84,6.05203376835561e-06,6.05203376835561e-06,0,0
37,85,6.08870323048905e-06,6.08870323048905e-06,0,0
37,86,6.12764415564016e-06,6.12764415564016e-06,0,0
37,87,6.15634280620725e-06,6.15634280620725e-06,0,0
37,88,6.17769501332077e-06,6.17769501332077e-06,0,0
37,89,6.17999785390566e-06,6.17999785390566e-06,0,0
37,90,6.15026965533616e-06,6.15026965533616e-06,0,0
37,91,6.10592587690917e-06,6.10592587690917e-06,0,0
37,92,6.12146732237306e-06,6.12146732237306e-06,0,0
37,93,6.15596309216926e-06,6.15596309216926e-06,0,0
37,94,6.18000740360003e-06,6.18000740360003e-06,0,0
37,95,6.20733862888301e-06,6.20733862888301e-06,0,0
37,96,6.22339803157956e-06,6.22339803157956e-06,0,0
37,97,6.39994095763541e-06,6.39994095763541e-06,0,0
37,98,6.47500974082504e-06,6.47500974082504e-06,0,0
38,73,6.33479430689476e-06,6.33479430689476e-06,0,0
38,74,6.35450442132424e-06,6.35450442132424e-06,0,0
38,75,6.29737633062177e-06,6.29737633062177e-06,0,0
38,76,6.18039848632179e-06,6.18039848632179e-06,0,0
38,77,6.10707957093837e-06,6.10707957093837e-06,0,0
38,78,6.13612337474478e-06,6.13612337474478e-06,0,0
38,79,6.11178165854653e-06,6.11178165854653e-06,0,0
38,80,6.11880341239157e-06,6.11880341239157e-06,0,0
38,81,6.10047118243529e-06,6.10047118243529e-06,0,0
38,82,6.07078436587472e-06,6.07078436587472e-06,0,0
38,83,6.04875867793453e-06,6.04875867793453e-06,0,0
38,84,6.06008916292922e-06,6.06008916292922e-06,0,0
38,85,6.09985090704868e-06,6.09985090704868e-06,0,0
38,86,6.13787869951921e-06,6.13787869951921e-06,0,0
38,87,6.16762554273009e-06,6.16762554273009e-06,0,0
38,88,6.19475531493663e-06,6.19475531493663e-06,0,0
38,89,6.20846230958705e-06,6.20846230958705e-06,0,0
38,90,6.18713102085167e-06,6.18713102085167e-06,0,0
38,91,6.13917154623778e-06,6.13917154623778e-06,0,0
38,92,6.13554493611446e-06,6.13554493611446e-06,0,0
38,93,6.15924545854796e-06,6.15924545854796e-06,0,0
38,94,6.17600289842812e-06,6.17600289842812e-06,0,0
38,95,6.19698448645067e-06,6.19698448645067e-06,0,0
38,96,6.21785193288815e-06,6.21785193288815e-06,0,0
38,97,6.35742480881163e-06,6.35742480881163e-06,0,0
38,98,6.50251104161725e-06,6.50251104161725e-06,0,0
39,73,6.33022045803955e-06,6.33022045803955e-06,0,0
39,74,6.29492569714785e-06,6.29492569714785e-06,0,0
39,75,6.25126085651573e-06,6.25126085651573e-06,0,0
39,76,6.11867289990187e-06,6.11867289990187e-06,0,0
39,77,6.07805168328923e-06,6.07805168328923e-06,0,0
39,78,6.05854347668355e-06,6.05854347668355e-06,0,0
39,79,6.09183052802109e-06,6.09183052802109e-06,0,0
39,80,6.12188841841999e-06,6.12188841841999e-06,0,0
39,81,6.10707866144367e-06,6.10707866144367e-06,0,0
39,82,6.0733400459867e-06,6.0733400459867e-06,0,0
39,83,6.05210379944765e-06,6.05210379944765e-06,0,0
39,84,6.06845833317493e-06,6.06845833317493e-06,0,0
39,85,6.10759570918162e-06,6.10759570918162e-06,0,0
39,86,6.14299642620608e-06,6.14299642620608e-06,0,0
39,87,6.17231717114919e-06,6.17231717114919e-06,0,0
39,88,6.20555920249899e-06,6.20555920249899e-06,0,0
39,89,6.23140613242867e-06,6.23140613242867e-06,0,0
39,90,6.22469042355078e-06,6.22469042355078e-06,0,0
39,91,6.17984414930106e-06,6.17984414930106e-06,0,0
39,92,6.15477028986788e-06,6.15477028986788e-06,0,0
39,93,6.17075511399889e-06,6.17075511399889e-06,0,0
39,94,6.17967452853918e-06,6.17967452853918e-06,0,0
39,95,6.19361799181206e-06,6.19361799181206e-06,0,0
39,96,6.21242952547618e-06,6.21242952547618e-06,0,0
39,97,6.30724844086217e-06,6.30724844086217e-06,0,0
39,98,6.43102703179466e-06,6.43102703179466e-06,0,0
39,99,6.48113473289413e-06,6.48113473289413e-06,0,0
40,72,6.24522772341152e-06,6.24522772341152e-06,0,0
40,73,6.27259851171402e-06,6.27259851171402e-06,0,0
40,74,6.26097425993066e-06,6.26097425993066e-06,0,0
40,75,6.19286265646224e-06,6.19286265646224e-06,0,0
40,76,6.07486754233832e-06,6.07486754233832e-06,0,0
40,77,5.99145505475462e-06,5.99145505475462e-06,0,0
40,78,6.0119364206912e-06,6.0119364206912e-06,0,0
40,79,6.07032916377648e-06,6.07032916377648e-06,0,0
40,80,6.12100257058046e-06,6.12100257058046e-06,0,0
40,81,6.11451469012536e-06,6.11451469012536e-06,0,0
40,82,6.07413085162989e-06,6.07413085162989e-06,0,0
40,83,6.05529839958763e-06,6.05529839958763e-06,0,0
40,84,6.07586116530001e-06,6.07586116530001e-06,0,0
40,85,6.11378027315368e-06,6.11378027315368e-06,0,0
40,86,6.14277814747766e-06,6.14277814747766e-06,0,0
40,87,6.1695541262452e-06,6.1695541262452e-06,0,0
40,88,6.20540322415764e-06,6.20540322415764e-06,0,0
40,89,6.24016865913291e-06,6.24016865913291e-06,0,0
40,90,6.25217489869101e-06,6.25217489869101e-06,0,0
40,91,6.22374591330299e-06,6.22374591330299e-06,0,0
40,92,6.18439071331522e-06,6.18439071331522e-06,0,0
40,93,6.18856756773312e-06,6.18856756773312e-06,0,0
40,94,6.18993271928048e-06,6.18993271928048e-06,0,0
40,95,6.19704314885894e-06,6.19704314885894e-06,0,0
40,96,6.20812261331594e-06,6.20812261331594e-06,0,0
40,97,6.26644578005653e-06,6.26644578005653e-06,0,0
40,98,6.36990307611995e-06,6.36990307611995e-06,0,0
40,99,6.49274898023577e-06,6.49274898023577e-06,0,0
41,72,6.13783777225763e-06,6.13783777225763e-06,0,0
41,73,6.24205131316558e-06,6.24205131316558e-06,0,0
41,74,6.21444905846147e-06,6.21444905846147e-06,0,0
41,75,6.13307429375709e-06,6.13307429375709e-06,0,0
41,76,5.96262998442398e-06,5.96262998442398e-06,0,0
41,77,5.94531275055488e-06,5.94531275055488e-06,0,0
41,78,5.97585494688246e-06,5.97585494688246e-06,0,0
41,79,6.04613433097256e-06,6.04613433097256e-06,0,0
41,80,6.11361429037061e-06,6.11361429037061e-06,0,0
41,81,6.11489349466865e-06,6.11489349466865e-06,0,0
41,82,6.07415313425008e-06,6.07415313425008e-06,0,0
41,83,6.06002095082658e-06,6.06002095082658e-06,0,0
41,84,6.0815241340606e-06,6.0815241340606e-06,0,0
41,85,6.11521591054043e-06,6.11521591054043e-06,0,0
41,86,6.14165264778421e-06,6.14165264778421e-06,0,0
41,87,6.16829083810444e-06,6.16829083810444e-06,0,0
41,88,6.20577611698536e-06,6.20577611698536e-06,0,0
41,89,6.24487620370928e-06,6.24487620370928e-06,0,0
41,90,6.27065037406282e-06,6.27065037406282e-06,0,0
41,91,6.25992151981336e-06,6.25992151981336e-06,0,0
41,92,6.22348761680769e-06,6.22348761680769e-06,0,0
41,93,6.20831769992947e-06,6.20831769992947e-06,0,0
41,94,6.20396986050764e-06,6.20396986050764e-06,0,0
41,95,6.2034860093263e-06,6.2034860093263e-06,0,0
41,96,6.20453374722274e-06,6.20453374722274e-06,0,0
41,97,6.24379799774033e-06,6.24379799774033e-06,0,0
41,98,6.32153614787967e-06,6.32153614787967e-06,0,0
41,99,6.49932098895079e-06,6.49932098895079e-06,0,0
41,100,6.49701723887119e-06,6.49701723887119e-06,0,0
42,69,6.28105090072495e-06,6.28105090072495e-06,0,0
42,71,6.12883286521537e-06,6.12883286521537e-06,0,0
