"I_Value","J_Value","TP_Base","TP_ZeroSettling","Conc_Change","Percent_Change"
26,92,6.31346983936965e-06,7.41763869882561e-06,1.10416885945597e-06,17.4890969237007
26,93,6.2676358538738e-06,7.40907535146107e-06,1.14143949758727e-06,18.2116435000254
27,78,6.24287986283889e-06,7.25959580449853e-06,1.01671594165964e-06,16.2860084447837
27,79,6.39975314697949e-06,7.28286613593809e-06,8.83112988958601e-07,13.7991726973939
27,80,6.39932704871171e-06,7.28504983271705e-06,8.85722784005338e-07,13.8408738491284
27,81,6.38527853880078e-06,7.29432667867513e-06,9.09048139874358e-07,14.2366246726817
27,82,6.40839334664633e-06,7.3175979196094e-06,9.09204572963063e-07,14.1877148261954
27,83,6.34095977147808e-06,7.33874412617297e-06,9.97784354694886e-07,15.7355414740678
27,84,6.22382049186854e-06,7.36729498385102e-06,1.14347449198249e-06,18.3725493605808
27,85,6.01027886659722e-06,7.39787765269284e-06,1.38759878609562e-06,23.0870949068163
27,86,5.93650975133642e-06,7.43720647733426e-06,1.50069672599784e-06,25.2791082447057
27,87,5.91401067140396e-06,7.45847137295641e-06,1.54446070155245e-06,26.1152843200028
27,88,5.92547939959331e-06,7.46227806303068e-06,1.53679866343737e-06,25.9354317144844
27,89,5.97694543102989e-06,7.4435142778384e-06,1.46656884680851e-06,24.5370961426999
27,90,6.095222033764e-06,7.4232730185031e-06,1.32805098473909e-06,21.7883938826586
27,91,6.19878892393899e-06,7.41047824703855e-06,1.21168932309956e-06,19.5471944272882
27,92,6.27811505182763e-06,7.4146064434899e-06,1.13649139166228e-06,18.1024301447204
27,93,6.29214309810777e-06,7.41688427297049e-06,1.12474117486272e-06,17.8753273300628
28,77,6.32028331892798e-06,7.25959216651972e-06,9.39308847591747e-07,14.8618155261918
28,78,6.32985438642208e-06,7.27648966858396e-06,9.46635282161878e-07,14.9550878167509
28,79,6.41872202322702e-06,7.28609302313998e-06,8.67370999912964e-07,13.5131416623787
28,80,6.37667244518525e-06,7.28585655451752e-06,9.09184109332273e-07,14.2579710209007
28,81,6.35459446129971e-06,7.29681778466329e-06,9.42223323363578e-07,14.8274343721199
28,82,6.35752076050267e-06,7.32594253349816e-06,9.68421772995498e-07,15.2326954087513
28,83,6.1486730373872e-06,7.32834223526879e-06,1.17966919788159e-06,19.1857526121259
28,84,6.08798291068524e-06,7.38217204343528e-06,1.29418913275003e-06,21.2580940475138
28,85,5.99543318458018e-06,7.41901067158324e-06,1.42357748700306e-06,23.7443641380976
28,86,5.93904360357556e-06,7.45725265005603e-06,1.51820904648048e-06,25.5631907731146
28,87,5.91743491895613e-06,7.4818331086135e-06,1.56439818965737e-06,26.4371000455944
28,88,5.9262424656481e-06,7.48541469874908e-06,1.55917223310098e-06,26.3096260765373
28,89,5.96469544689171e-06,7.46222121961182e-06,1.49752577272011e-06,25.1064917908004
28,90,6.05788136454066e-06,7.4353292802698e-06,1.37744791572914e-06,22.7381130933319
28,91,6.17363139099325e-06,7.41828034733771e-06,1.24464895634446e-06,20.1607267670741
28,92,6.25065922577051e-06,7.41549729355029e-06,1.16483806777978e-06,18.6354434901416
28,93,6.3407392190129e-06,7.4312533797638e-06,1.0905141607509e-06,17.1985335318784
28,94,6.32908313491498e-06,7.42995598557172e-06,1.10087285065674e-06,17.3938756560753
29,77,6.25601524006925e-06,7.25215795682743e-06,9.96142716758186e-07,15.9229586011552
29,78,6.3139341364149e-06,7.27020096746855e-06,9.56266831053654e-07,15.1453406132081
29,79,6.43886232865043e-06,7.28959503248916e-06,8.5073270383873e-07,13.2124692285049
29,80,6.38366736893659e-06,7.29000839783112e-06,9.06341028894531e-07,14.1978110154181
29,81,6.35537344351178e-06,7.30323017705814e-06,9.47856733546359e-07,14.9142570766479
29,82,6.29297574050725e-06,7.33740489522461e-06,1.04442915471736e-06,16.5967452884727
29,83,6.23262212684494e-06,7.36740048523643e-06,1.13477835839149e-06,18.2070777803744
29,84,6.0597476476687e-06,7.40265249987715e-06,1.34290485220845e-06,22.1610689139025
29,85,5.97396319790278e-06,7.44242379369098e-06,1.4684605957882e-06,24.5810117528632
29,86,5.9439144024509e-06,7.47900821806979e-06,1.53509381561889e-06,25.8263109405801
29,87,5.93509685131721e-06,7.50222034184844e-06,1.56712349053123e-06,26.4043457047113
29,88,5.94799757891451e-06,7.50579647501581e-06,1.5577988961013e-06,26.1903081740258
29,89,5.96438303546165e-06,7.48227057556505e-06,1.5178875401034e-06,25.4491961880834
29,90,6.03091712036985e-06,7.44965564081213e-06,1.41873852044228e-06,23.524424098789
29,91,6.15256112723728e-06,7.42902329875506e-06,1.27646217151778e-06,20.7468425769376
29,92,6.22781271886197e-06,7.41977646612213e-06,1.19196374726016e-06,19.1393640282422
29,93,6.31542616247316e-06,7.43135888114921e-06,1.11593271867605e-06,17.6699511635022
29,94,6.38140545561328e-06,7.44434373700642e-06,1.06293828139314e-06,16.6568052882167
30,77,6.34670004728832e-06,7.27869928596192e-06,9.31999238673598e-07,14.6847847185058
30,78,6.34039997748914e-06,7.28142504158313e-06,9.41025064093992e-07,14.8417302920162
30,79,6.42050054011634e-06,7.29297062207479e-06,8.72470081958454e-07,13.5888172036918
30,80,6.37412495052558e-06,7.29258454157389e-06,9.18459591048304e-07,14.409187114736
30,81,6.34151274425676e-06,7.31240970708313e-06,9.70896962826373e-07,15.3101791635706
30,82,6.22237030256656e-06,7.35012736186036e-06,1.1277570592938e-06,18.1242356924439
30,83,6.0940146795474e-06,7.3899818744394e-06,1.295967194892e-06,21.2662302774146
30,84,6.02256022830261e-06,7.42607699066866e-06,1.40351676236605e-06,23.3043209060878
30,85,5.96646623307606e-06,7.468365765817e-06,1.50189953274094e-06,25.1723461437679
30,86,5.95766550759436e-06,7.50212439015741e-06,1.54445888256305e-06,25.9238938573221
30,87,5.96342124481453e-06,7.51984862290556e-06,1.55642737809103e-06,26.0995712728564
30,88,5.97294138060533e-06,7.52109417589963e-06,1.5481527952943e-06,25.919437286314
30,89,5.97795769863296e-06,7.50180288378033e-06,1.52384518514737e-06,25.4910667149056
30,90,6.01974761593738e-06,7.46564774090075e-06,1.44590012496337e-06,24.0192814917245
30,91,6.13055271969642e-06,7.44058024793048e-06,1.31002752823406e-06,21.3688322755167
30,92,6.21038407189189e-06,7.42726660973858e-06,1.21688253784669e-06,19.5943201541154
30,93,6.27734698355198e-06,7.42965403333073e-06,1.15230704977876e-06,18.3565932040725
30,94,6.34876641925075e-06,7.44102089811349e-06,1.09225447886274e-06,17.2042001033587
30,95,6.32501041764044e-06,7.43898453947622e-06,1.11397412183578e-06,17.61221007208
31,75,6.41106635157485e-06,7.26870166545268e-06,8.57635313877836e-07,13.3774206480824
31,76,6.32126057098503e-06,7.26821053831372e-06,9.46949967328692e-07,14.9803976073261
31,77,6.34479420114076e-06,7.27987253412721e-06,9.3507833298645e-07,14.7377251860798
31,78,6.2820781749906e-06,7.27772339814692e-06,9.95645223156316e-07,15.8489785612674
31,79,6.38378378425841e-06,7.29448356651119e-06,9.10699782252777e-07,14.2658306269464
31,80,6.34398475085618e-06,7.29442808733438e-06,9.50443336478202e-07,14.9818036108919
31,81,6.28385669187992e-06,7.32046783014084e-06,1.03661113826092e-06,16.4964159606066
31,82,6.10783445154084e-06,7.3675118983374e-06,1.25967744679656e-06,20.6239618442634
31,83,6.03813214183901e-06,7.41258509151521e-06,1.3744529496762e-06,22.7628829146092
31,84,5.98756605540984e-06,7.45375700716977e-06,1.46619095175993e-06,24.487261404577
31,85,5.97119242229383e-06,7.49391801946331e-06,1.52272559716948e-06,25.5011979095547
31,86,5.98098722548457e-06,7.52052710595308e-06,1.53953988046851e-06,25.7405645995805
31,87,5.9951107687084e-06,7.53214862925233e-06,1.53703786054393e-06,25.638189515472
31,88,6.00443308940157e-06,7.53060521674342e-06,1.52617212734185e-06,25.4174225046441
31,89,6.00299017605721e-06,7.51627067074878e-06,1.51328049469157e-06,25.2087784638938
31,90,6.01700230618007e-06,7.48026513974764e-06,1.46326283356757e-06,24.3188012752571
31,91,6.10769347986206e-06,7.45167426430271e-06,1.34398078444065e-06,22.0047189478637
31,92,6.19230013398919e-06,7.43579903428326e-06,1.24349890029407e-06,20.0813732116855
31,93,6.24612721367157e-06,7.43092050470295e-06,1.18479329103138e-06,18.9684463748689
31,94,6.30323665973265e-06,7.43550253901049e-06,1.13226587927784e-06,17.9632455578126
31,95,6.39586278339266e-06,7.45780653232941e-06,1.06194374893676e-06,16.6036043126843
32,75,6.37343555354164e-06,7.25833569958922e-06,8.84900146047585e-07,13.8841938325689
32,76,6.35879905530601e-06,7.27438055037055e-06,9.15581495064544e-07,14.3986543229503
32,77,6.29244595984346e-06,7.27706174075138e-06,9.84615780907916e-07,15.6475842175117
32,78,6.28301313554402e-06,7.28534405425307e-06,1.00233091870905e-06,15.9530291770154
32,79,6.29917485639453e-06,7.28737268218538e-06,9.88197825790849e-07,15.687734478234
32,80,6.33025729257497e-06,7.30022657080553e-06,9.69969278230565e-07,15.3227465077649
32,81,6.26905193712446e-06,7.33382967155194e-06,1.06477773442748e-06,16.9846692148459
32,82,6.09833250564407e-06,7.38784865461639e-06,1.28951614897233e-06,21.1453892974656
32,83,6.00761768509983e-06,7.43813097869861e-06,1.43051329359878e-06,23.8116566096867
32,84,5.98434598941822e-06,7.47930880606873e-06,1.49496281665051e-06,24.9812229990374
32,85,5.98829728915007e-06,7.51242123442353e-06,1.52412394527346e-06,25.4517080846162
32,86,6.0082197705924e-06,7.5315165304346e-06,1.5232967598422e-06,25.3535459421452
32,87,6.03059652348747e-06,7.53953008825192e-06,1.50893356476445e-06,25.0212986209171
32,88,6.04064462095266e-06,7.5370821832621e-06,1.49643756230944e-06,24.7728124432097
32,89,6.03049466008088e-06,7.52426694816677e-06,1.49377228808589e-06,24.77031109859
32,90,6.0220963860047e-06,7.49214905226836e-06,1.47005266626365e-06,24.4109787030318
32,91,6.08637765253661e-06,7.46153182262788e-06,1.37515417009126e-06,22.593967193576
32,92,6.17082469034358e-06,7.44374437999795e-06,1.27291968965437e-06,20.6280319654244
32,93,6.22249808657216e-06,7.43504415368079e-06,1.21254606710863e-06,19.4864835671906
32,94,6.2665340010426e-06,7.43349983167718e-06,1.16696583063458e-06,18.6221894023144
32,95,6.37026914773742e-06,7.45535680835019e-06,1.08508766061277e-06,17.0336234693972
32,96,6.39993868389865e-06,7.46809701013262e-06,1.06815832623397e-06,16.6901337495827
33,75,6.35467768006492e-06,7.25649169908138e-06,9.01814019016456e-07,14.1913416292617
33,76,6.31983857601881e-06,7.26808730178163e-06,9.48248725762824e-07,15.0043187710686
33,77,6.25665325060254e-06,7.27748920326121e-06,1.02083595265867e-06,16.316006525699
33,78,6.2306476138474e-06,7.28459144738736e-06,1.05394383353996e-06,16.9154781149492
33,79,6.30859494776814e-06,7.29734074411681e-06,9.88745796348667e-07,15.6729954060288
33,80,6.3053425947146e-06,7.31105410523014e-06,1.00571151051554e-06,15.950148551144
33,81,6.18937565377564e-06,7.35787853045622e-06,1.16850287668058e-06,18.8791720206507
33,82,6.07784249950782e-06,7.40876703275717e-06,1.33092453324934e-06,21.8979766809871
33,83,6.00527482674806e-06,7.45849047234515e-06,1.45321564559708e-06,24.1989865163926
33,84,6.00265093453345e-06,7.4959634730476e-06,1.49331253851415e-06,24.8775508487937
33,85,6.01442025072174e-06,7.52273535908898e-06,1.50831510836724e-06,25.0783125470197
33,86,6.039358140697e-06,7.53898257244145e-06,1.49962443174445e-06,24.8308577966098
33,87,6.06586809226428e-06,7.54525990487309e-06,1.47939181260881e-06,24.3887897017652
33,88,6.07512947681244e-06,7.54138682168559e-06,1.46625734487316e-06,24.1354089730856
33,89,6.05835521128029e-06,7.52745427234913e-06,1.46909906106885e-06,24.2491403992535
33,90,6.03335683990736e-06,7.50058643461671e-06,1.46722959470935e-06,24.3186278160183
33,91,6.07278116149246e-06,7.46995146982954e-06,1.39717030833708e-06,23.0070913339764
33,92,6.14799591858173e-06,7.45087709219661e-06,1.30288117361488e-06,21.1919654936179
33,93,6.19908541921177e-06,7.43996633900679e-06,1.24088091979502e-06,20.0171611758949
33,94,6.23628557150369e-06,7.43431564842467e-06,1.19803007692099e-06,19.2106352921891
33,95,6.32355795460171e-06,7.448797532561e-06,1.12523957795929e-06,17.7944060296062
33,96,6.33106174063869e-06,7.45148463465739e-06,1.1204228940187e-06,17.6972353124718
34,75,6.34422167422599e-06,7.27143560652621e-06,9.27213932300219e-07,14.6150935435802
34,76,6.29061469226144e-06,7.26939742889954e-06,9.78782736638095e-07,15.55941326119
34,77,6.23875121164019e-06,7.28146460460266e-06,1.04271339296247e-06,16.7134953388907
34,78,6.21839262748836e-06,7.29200883142767e-06,1.07361620393931e-06,17.2651723404115
34,79,6.28408406555536e-06,7.30449119146215e-06,1.02040712590679e-06,16.2379610976227
34,80,6.28611178399296e-06,7.32341550246929e-06,1.03730371847632e-06,16.5015156287505
34,81,6.14063128523412e-06,7.37535037842463e-06,1.23471909319051e-06,20.107364142829
34,82,6.05576315138023e-06,7.42714109946974e-06,1.3713779480895e-06,22.6458319753958
34,83,6.01978308623075e-06,7.4705972110678e-06,1.45081412483705e-06,24.1007708094258
34,84,6.02097316004802e-06,7.50398066884372e-06,1.48300750879571e-06,24.6306945633998
34,85,6.03911030339077e-06,7.52914957047324e-06,1.49003926708247e-06,24.6731586645446
34,86,6.0717779888364e-06,7.54465918362257e-06,1.47288119478617e-06,24.2578236143386
34,87,6.09735207035556e-06,7.5503930929699e-06,1.45304102261434e-06,23.8306892212903
34,88,6.10434517511749e-06,7.5454681791598e-06,1.44112300404231e-06,23.6081506320549
34,89,6.08843538429937e-06,7.52996584196808e-06,1.4415304576687e-06,23.67653373453
34,90,6.05130435360479e-06,7.50549816075363e-06,1.45419380714884e-06,24.0310802791231
34,91,6.06969297223259e-06,7.47678768675542e-06,1.40709471452283e-06,23.1823046233138
34,92,6.12823714618571e-06,7.45704846849549e-06,1.32881132230978e-06,21.6834187485196
34,93,6.17698879068485e-06,7.44501812732778e-06,1.26802933664294e-06,20.5282764727561
34,94,6.21357503405306e-06,7.43775945011294e-06,1.22418441605987e-06,19.7017724796243
34,95,6.27735744274105e-06,7.4435374699533e-06,1.16618002721225e-06,18.5775628972791
34,96,6.3004677031131e-06,7.44660837881383e-06,1.14614067570074e-06,18.1913586373028
34,97,6.39329982732306e-06,7.48427282815101e-06,1.09097300082794e-06,17.0643178060483
35,75,6.38620440440718e-06,7.27903761799098e-06,8.92833213583799e-07,13.98065512854
35,76,6.24652375336154e-06,7.27750239093439e-06,1.03097863757284e-06,16.504838183286
35,77,6.20332093603793e-06,7.29167277313536e-06,1.08835183709743e-06,17.5446643550989
35,78,6.21141771262046e-06,7.30156534700654e-06,1.09014763438608e-06,17.550705568732
35,79,6.24084350420162e-06,7.3153173616447e-06,1.07447385744308e-06,17.2168050155351
35,80,6.26423889116268e-06,7.34303876015474e-06,1.07879986899206e-06,17.221563349284
35,81,6.12240228292649e-06,7.38904236641247e-06,1.26664008348598e-06,20.6886124915093
35,82,6.05967443334521e-06,7.43853888707235e-06,1.37886445372715e-06,22.7547613142304
35,83,6.03443959334982e-06,7.47752756069531e-06,1.44308796734549e-06,23.9142002338681
35,84,6.03463649895275e-06,7.50988783693174e-06,1.47525133797899e-06,24.4463993520571
35,85,6.05785635343636e-06,7.53324775359943e-06,1.47539140016306e-06,24.3550080108145
35,86,6.09496009928989e-06,7.54856591811404e-06,1.45360581882414e-06,23.8493082012711
35,87,6.12206849837094e-06,7.55507244321052e-06,1.43300394483958e-06,23.4071857448328
35,88,6.13204429100733e-06,7.55123573981109e-06,1.41919144880376e-06,23.1438551558574
35,89,6.12000394539791e-06,7.53493486627121e-06,1.4149309208733e-06,23.1197713840903
35,90,6.08284699410433e-06,7.50880690247868e-06,1.42595990837435e-06,23.4423109730762
35,91,6.07146284892224e-06,7.48144748285995e-06,1.40998463393771e-06,23.2231452126566
35,92,6.11697896601981e-06,7.46249133953825e-06,1.34551237351843e-06,21.9963544258176
35,93,6.16285569776664e-06,7.45081888453569e-06,1.28796318676905e-06,20.8988048711865
35,94,6.19671527601895e-06,7.44270755603793e-06,1.24599228001898e-06,20.1073024097286
35,95,6.24248923486448e-06,7.44239014238701e-06,1.19990090752253e-06,19.2215134440449
35,96,6.26499013378634e-06,7.44212775316555e-06,1.17713761937921e-06,18.7891376401544
35,97,6.44495912638376e-06,7.50022491047275e-06,1.05526578408899e-06,16.3735062301488
36,74,6.3125767155725e-06,7.26114740245976e-06,9.48570686887251e-07,15.026679747863
36,75,6.33125637250487e-06,7.27741826267447e-06,9.46161890169606e-07,14.944299116974
36,76,6.22487004875438e-06,7.2815337262e-06,1.05666367744561e-06,16.9748712691128
36,77,6.1262808230822e-06,7.28651912140776e-06,1.16023829832557e-06,18.9387057471165
36,78,6.17269961367128e-06,7.30888905309257e-06,1.13618943942129e-06,18.4066860617169
36,79,6.21946946921526e-06,7.32693342797575e-06,1.10746395876049e-06,17.8064055823756
36,80,6.17167688687914e-06,7.35890898795333e-06,1.18723210107419e-06,19.2367831763555
36,81,6.10544475421193e-06,7.40188579584355e-06,1.29644104163162e-06,21.2341785704842
