"I_Value","J_Value","TP_Base","TP_25Percent_NiagaraRiver","Conc_Change","Percent_Change"
33,78,6.2306476138474e-06,6.55487792755594e-06,3.2423031370854e-07,5.2037979645639
33,79,6.30859494776814e-06,6.62241563986754e-06,3.13820692099398e-07,4.97449423679391
33,80,6.3053425947146e-06,6.58585850032978e-06,2.80515905615175e-07,4.44886065112965
33,81,6.18937565377564e-06,6.37516131973825e-06,1.85785665962612e-07,3.00168670242659
33,82,6.07784249950782e-06,6.18336298430222e-06,1.05520484794397e-07,1.73615036590602
33,83,6.00527482674806e-06,6.05584727964015e-06,5.05724528920837e-08,0.842133863163584
33,84,6.00265093453345e-06,6.02624231760274e-06,2.3591383069288e-08,0.393016074507448
33,85,6.01442025072174e-06,6.02371937930002e-06,9.2991285782773e-09,0.154613881149416
33,86,6.039358140697e-06,6.04348088018014e-06,4.12273948313668e-09,0.0682645305525941
33,87,6.06586809226428e-06,6.06868889008183e-06,2.82079781754874e-09,0.0465027886304693
33,88,6.07512947681244e-06,6.07812944508623e-06,2.999968273798e-09,0.0493811413443662
33,89,6.05835521128029e-06,6.06262392466306e-06,4.26871338277124e-09,0.0704599389422257
33,90,6.03335683990736e-06,6.04163915340905e-06,8.28231350169517e-09,0.137275379551765
33,91,6.07278116149246e-06,6.08695199844078e-06,1.4170836948324e-08,0.23335003471196
33,92,6.14799591858173e-06,6.16581564827356e-06,1.7819729691837e-08,0.289846153573046
33,93,6.19908541921177e-06,6.21829940428142e-06,1.92139850696549e-08,0.309948706467381
33,94,6.23628557150369e-06,6.2552721828979e-06,1.89866113942116e-08,0.304453847991981
33,95,6.32355795460171e-06,6.34058505966095e-06,1.70271050592419e-08,0.269264632054983
33,96,6.33106174063869e-06,6.34557409284753e-06,1.45123522088397e-08,0.229224619871985
34,75,6.34422167422599e-06,6.71753650749451e-06,3.73314833268523e-07,5.88432832959085
34,76,6.29061469226144e-06,6.65442530589644e-06,3.63810613634996e-07,5.78338733864191
34,77,6.23875121164019e-06,6.57599139231024e-06,3.37240180670051e-07,5.40557187215339
34,78,6.21839262748836e-06,6.52902690490009e-06,3.10634277411737e-07,4.99541112985662
34,79,6.28408406555536e-06,6.5787908170023e-06,2.94706751446938e-07,4.68973279753369
34,80,6.28611178399296e-06,6.54289624435478e-06,2.56784460361814e-07,4.08494899845232
34,81,6.14063128523412e-06,6.29494297754718e-06,1.54311692313058e-07,2.51296137392452
34,82,6.05576315138023e-06,6.14054488323745e-06,8.47817318572197e-08,1.40001730150057
34,83,6.01978308623075e-06,6.06240337219788e-06,4.26202859671321e-08,0.708003683133017
34,84,6.02097316004802e-06,6.03982880420517e-06,1.88556441571563e-08,0.313166055651475
34,85,6.03911030339077e-06,6.04627166467253e-06,7.16136128176004e-09,0.11858305150908
34,86,6.0717779888364e-06,6.07504443905782e-06,3.26645022141747e-09,0.0537972604964012
34,87,6.09735207035556e-06,6.09973449172685e-06,2.38242137129419e-09,0.0390730491499281
34,88,6.10434517511749e-06,6.10711003901088e-06,2.7648638933897e-09,0.0452933740486995
34,89,6.08843538429937e-06,6.09251037531067e-06,4.0749910112936e-09,0.0669300198504535
34,90,6.05130435360479e-06,6.05824470767402e-06,6.94035406922922e-09,0.114691869119008
34,91,6.06969297223259e-06,6.08210439168033e-06,1.24114194477443e-08,0.204481833010724
34,92,6.12823714618571e-06,6.14451482761069e-06,1.6277681424981e-08,0.265617681507518
34,93,6.17698879068485e-06,6.19496813669684e-06,1.79793460119981e-08,0.29106975293709
34,94,6.21357503405306e-06,6.2316771618498e-06,1.81021277967375e-08,0.291331925623011
34,95,6.27735744274105e-06,6.29405167273944e-06,1.6694229998393e-08,0.265943594110571
34,96,6.3004677031131e-06,6.31486409474746e-06,1.43963916343637e-08,0.228497189617373
34,97,6.39329982732306e-06,6.40308735455619e-06,9.78752723312937e-09,0.15309038364352
35,75,6.38620440440718e-06,6.76124545861967e-06,3.75041054212488e-07,5.87267538686467
35,76,6.24652375336154e-06,6.59560282656457e-06,3.49079073203029e-07,5.58837342153984
35,77,6.20332093603793e-06,6.51913524052361e-06,3.15814304485684e-07,5.09105215967426
35,78,6.21141771262046e-06,6.50582751404727e-06,2.94409801426809e-07,4.73981649678177
35,79,6.24084350420162e-06,6.50996344120358e-06,2.6911993700196e-07,4.31223658822364
35,80,6.26423889116268e-06,6.49063440505415e-06,2.26395513891475e-07,3.61409451052169
35,81,6.12240228292649e-06,6.25705888523953e-06,1.34656602313044e-07,2.19940794626579
35,82,6.05967443334521e-06,6.13426527706906e-06,7.45908437238541e-08,1.23093813940556
35,83,6.03443959334982e-06,6.07167658017715e-06,3.72369868273381e-08,0.617074481421186
35,84,6.03463649895275e-06,6.04996012043557e-06,1.53236214828212e-08,0.253927829546659
35,85,6.05785635343636e-06,6.06375942879822e-06,5.90307536185719e-09,0.0974449544104595
35,86,6.09496009928989e-06,6.09777134741307e-06,2.81124812318012e-09,0.0461241431836059
35,87,6.12206849837094e-06,6.12416033618501e-06,2.09183781407773e-09,0.0341688077262508
35,88,6.13204429100733e-06,6.13450583841768e-06,2.46154741034843e-09,0.0401423618866925
35,89,6.12000394539791e-06,6.1237965383043e-06,3.79259290639311e-09,0.0619704323760289
35,90,6.08284699410433e-06,6.08914206168265e-06,6.29506757832132e-09,0.103488836467902
35,91,6.07146284892224e-06,6.08253048994811e-06,1.10676410258748e-08,0.182289528920356
35,92,6.11697896601981e-06,6.13187967246631e-06,1.49007064464968e-08,0.243595842478306
35,93,6.16285569776664e-06,6.17962041360443e-06,1.67647158377804e-08,0.272028368989002
35,94,6.19671527601895e-06,6.21388426225167e-06,1.71689862327185e-08,0.277065920700952
35,95,6.24248923486448e-06,6.2587128013547e-06,1.62235664902255e-08,0.259889378737194
35,96,6.26499013378634e-06,6.27926419838332e-06,1.42740645969752e-08,0.227838580622767
35,97,6.44495912638376e-06,6.45441741653485e-06,9.45829015108757e-09,0.146754850816169
36,74,6.3125767155725e-06,6.68633674649755e-06,3.73760030925041e-07,5.92087902873342
36,75,6.33125637250487e-06,6.70266990709933e-06,3.71413534594467e-07,5.86634804756015
36,76,6.22487004875438e-06,6.56646125207772e-06,3.41591203323333e-07,5.48752344463297
36,77,6.1262808230822e-06,6.42680606688373e-06,3.0052524380153e-07,4.90550878224895
36,78,6.17269961367128e-06,6.44572446617531e-06,2.73024852504022e-07,4.42310284951057
36,79,6.21946946921526e-06,6.46569060336333e-06,2.46221134148072e-07,3.95887680399112
36,80,6.17167688687914e-06,6.35445803709445e-06,1.82781150215305e-07,2.96161243638491
