OBJECTID,I_Value,J_Value,RASTERVALU
253,33,95,12.1031
254,33,96,12.282
255,34,75,7.08495
256,34,76,7.04851
257,34,77,6.99279
258,34,78,6.95083
259,34,79,6.93625
260,34,80,6.91221
261,34,81,6.90829
262,34,82,6.93544
263,34,83,6.98493
264,34,84,7.12278
265,34,85,7.32862
266,34,86,7.58767
267,34,87,7.89011
268,34,88,8.18443
269,34,89,8.45992
270,34,90,8.73853
271,34,91,9.08853
272,34,92,9.64533
273,34,93,10.367
274,34,94,11.2316
275,34,95,11.9086
276,34,96,12.0861
277,34,97,11.7528
278,35,75,7.11156
279,35,76,7.07423
280,35,77,7.00241
281,35,78,6.94549
282,35,79,6.89574
283,35,80,6.88976
284,35,81,6.88778
285,35,82,6.92193
286,35,83,6.97022
287,35,84,7.09858
288,35,85,7.2755
289,35,86,7.50801
290,35,87,7.77768
291,35,88,8.05
292,35,89,8.32343
293,35,90,8.6159
294,35,91,8.97006
295,35,92,9.50504
296,35,93,10.1409
297,35,94,10.8838
298,35,95,11.4637
299,35,96,11.633
300,35,97,11.373
301,36,74,7.15663
302,36,75,7.14833
303,36,76,7.11004
304,36,77,7.03739
305,36,78,6.93791
306,36,79,6.86738
307,36,80,6.84598
308,36,81,6.83546
309,36,82,6.86342
310,36,83,6.90468
311,36,84,7.02748
312,36,85,7.19068
313,36,86,7.40397
314,36,87,7.65183
315,36,88,7.90922
316,36,89,8.17681
317,36,90,8.46708
318,36,91,8.81059
319,36,92,9.30014
320,36,93,9.82585
321,36,94,10.4197
322,36,95,10.8722
323,36,96,11.0345
324,36,97,10.857
325,37,74,7.18889
326,37,75,7.19329
327,37,76,7.15345
328,37,77,7.06194
329,37,78,6.928
330,37,79,6.82704
331,37,80,6.75569
332,37,81,6.75009
333,37,82,6.76604
334,37,83,6.79757
335,37,84,6.90718
336,37,85,7.07281
337,37,86,7.2854
338,37,87,7.51758
339,37,88,7.76493
340,37,89,8.02403
341,37,90,8.30218
342,37,91,8.61616
343,37,92,9.0462
344,37,93,9.45497
345,37,94,9.90061
346,37,95,10.2334
347,37,96,10.3543
348,37,97,10.2744
349,37,98,10.038
350,38,73,7.16618
351,38,74,7.21193
352,38,75,7.23783
353,38,76,7.20205
354,38,77,7.08585
355,38,78,6.932
356,38,79,6.77193
357,38,80,6.66817
358,38,81,6.63644
359,38,82,6.59528
360,38,83,6.64305
361,38,84,6.76241
